elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,670930,,1544,0,1777986702,0
1,670930,,72820,0,1777986702,0
2,670930,,73200,0,1777986702,0
3,670930,,73452,0,1777986702,0
4,670930,,73904,0,1777986702,0
5,670930,,74140,0,1777986702,0
6,670930,,74736,0,1777986702,0
7,670930,671240,640648,541344,1777986702,0
8,670930,671240,1925928,1826724,1777986850,0
9,670930,671240,2150024,2050596,1777986852,0
10,670930,671240,2406880,2307996,1777986852,0
11,670930,671240,3311924,3269712,1777986852,0
13,670930,671240,5029648,4930060,1777986852,0
14,670930,671240,5030500,4930912,1777986852,0
15,670930,671240,5060024,4960508,1777986858,0
16,670930,671240,5079576,4980148,1777986859,0
17,670930,671240,5098140,4999204,1777986860,0
18,670930,671240,5132884,5033628,1777986861,0
19,670930,671240,3611212,3511868,1777986862,0
20,670930,671240,3680380,3581252,1777986863,0
21,670930,671240,3700752,3602428,1777986864,0
23,670930,671240,3825556,3727524,1777986866,0
24,670930,671240,4611156,4513092,1777986867,0
25,670930,671240,5341536,5245008,1777986868,0
26,670930,671240,5516568,5416980,1777986869,0
27,670930,671240,5526944,5427508,1777986870,0
28,670930,671240,5540832,5441244,1777986871,0
29,670930,671240,5563336,5463984,1777986872,0
30,670930,671240,5591076,5491768,1777986873,0
32,670930,671240,5619308,5520012,1777986874,0
33,670930,671240,5645544,5545956,1777986875,0
34,670930,671240,5648972,5549384,1777986875,0
35,670930,671240,5999272,5904980,1777986878,0
36,670930,671240,6759756,6660500,1777986879,0
37,670930,671240,7438236,7347240,1777986880,0
38,670930,671240,7541096,7443620,1777986881,0
40,670930,671240,7765752,7668216,1777986883,0
41,670930,671240,7862576,7762992,1777986883,0
42,670930,671240,7875848,7778324,1777986885,0
43,670930,671240,7907188,7807604,1777986886,0
44,670930,671240,7922624,7823040,1777986886,0
45,670930,671240,7923248,7823668,1777986886,0
46,670930,671240,7931248,7831688,1777986888,0
47,670930,671240,7931608,7832028,1777986888,0
48,670930,671240,7957124,7857540,1777986891,0
49,670930,671240,9398440,9298856,1777986892,0
51,670930,671240,9607992,9508408,1777986894,0
52,670930,671240,9938436,9842500,1777986894,0
53,670930,671240,10398536,10302044,1777986894,0
54,670930,671240,10474896,10375312,1777986896,0
55,670930,671240,10515132,10418744,1777986898,1
