jar,mod_ids,display_names,jar_mib,model_pressure_score,files_total,assets_files,data_files,blockstates,block_models,item_models,textures_png,geo_models,animations,lang_files,recipes,loot_tables,worldgen,tags,patchouli_json,guide_json,namespaces
AE2-Things-1.2.1.jar,ae2things,AE2 Things,0.07,45.0,58,28,11,0,0,6,11,0,0,5,11,0,0,0,0,0,ae2things:38;minecraft:1
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar,ae2netanalyser,AE2NetworkAnalyzer,0.79,9.0,53,12,2,0,0,1,3,0,0,3,1,0,0,0,0,0,ae2netanalyser:12;ae2:2
AEAdditions-1.20.1-5.1.1.jar,ae2additions,AE Additions,0.74,718.0,587,223,170,5,51,63,98,0,0,2,111,0,0,0,0,0,ae2additions:393
AdLods-1.20.1-8.1.9.0-build.2084.jar,adlods,Large Ore Deposits,0.2,12.0,98,0,19,0,0,0,0,0,0,0,0,0,4,11,0,0,forge:11;adlods:8
AdPother-1.20.1-8.1.43.0-build.2132.jar,adpother,Pollution of the Realms,0.82,215.0,540,75,43,7,16,21,14,0,0,6,14,6,1,6,0,0,adpother:111;minecraft:4;curios:2;forge:1
Additional-Weaponry-1.20.1-1.1.3.jar,additionalweaponry,Additional Weaponry,1.62,6214.0,3345,3175,150,0,0,35,3054,0,0,2,36,0,0,63,0,0,additionalweaponry:3225;tconstruct:91;minecraft:4;c:2;forge:2;tinkers_things:1
AdvancedAE-1.3.5-1.20.1.jar,advanced_ae,Advanced AE,2.37,817.0,922,407,208,17,34,68,142,2,1,18,99,16,0,26,0,0,advanced_ae:556;ae2:35;forge:10;minecraft:7;c:5;curios:2
AmbientSounds_FORGE_v6.3.4_mc1.20.1.jar,ambientsounds,AmbientSounds,50.95,0.0,272,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ambientsounds:201
Apotheosis-1.20.1-7.4.8.jar,apotheosis,Apotheosis,2.67,1358.8,2230,1144,554,37,46,104,263,0,0,10,99,7,22,19,1,1,apotheosis:1689;minecraft:6;forge:2;curios:1
ApotheoticAdditionsV2.2.2.jar,apotheotic_additions,Apotheotic Additions,1.29,952.0,2018,309,1665,21,29,108,110,0,0,5,236,9,0,31,0,0,apotheotic_additions:1781;apotheosis:180;forge:5;alexscaves:4;malum:2;curios:1;minecraft:1
ApothicAttributes-1.20.1-1.3.7.jar,attributeslib,Apothic Attributes,0.22,20.0,149,21,8,0,0,0,10,0,0,8,0,0,0,3,0,0,attributeslib:26;forge:2;minecraft:1
BetterGrassify-1.4.4+forge.1.20.1.jar,bettergrass,BetterGrassify,0.32,0.0,34,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,bettergrass:11
Block Swap-forge-1.20.1-5.0.0.0.jar,blockswap,Block Swap,0.29,0.0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blockswap:1
Botania-1.20.1-451-FORGE.jar,botania,Botania,11.64,16807.8,9205,4450,3370,678,1324,895,1070,0,0,15,1302,827,20,284,1,1,botania:7638;minecraft:91;forge:79;curios:7;quark:3;buzzier_bees:1;c:1
