elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,86611,,2404,0,1778018023,0
1,86611,,72856,0,1778018023,0
2,86611,,73164,0,1778018023,0
3,86611,,73384,0,1778018023,0
5,86611,,73852,0,1778018023,0
6,86611,,74108,0,1778018023,0
7,86611,,79408,0,1778018023,0
8,86611,87746,473596,376696,1778018023,0
9,86611,87746,744244,644884,1778018023,0
10,86611,87746,2065336,1966036,1778018134,0
11,86611,87746,2364088,2264392,1778018135,0
12,86611,87746,2473860,2374056,1778018135,0
13,86611,87746,2476280,2376412,1778018135,0
14,86611,87746,2491272,2391448,1778018138,0
15,86611,87746,2508740,2409288,1778018139,0
17,86611,87746,2559772,2460804,1778018140,0
18,86611,87746,2657972,2558340,1778018142,0
19,86611,87746,2681876,2582160,1778018143,0
20,86611,87746,2720720,2621236,1778018144,0
21,86611,87746,2735172,2635552,1778018145,0
22,86611,87746,2838876,2739980,1778018146,0
23,86611,87746,5332400,5287516,1778018147,0
24,86611,87746,6399960,6300096,1778018148,0
26,86611,87746,6406296,6306420,1778018149,0
27,86611,87746,6428900,6329136,1778018151,0
28,86611,87746,6487132,6387540,1778018152,0
29,86611,87746,6569024,6335460,1778018153,0
30,86611,87746,6322404,6222928,1778018154,0
31,86611,87746,6347628,6247752,1778018155,0
32,86611,87746,6487888,6388556,1778018156,0
33,86611,87746,7150096,7066948,1778018157,0
34,86611,87746,7795764,7704364,1778018158,0
36,86611,87746,7960176,7860548,1778018160,0
37,86611,87746,8208148,8112412,1778018161,0
38,86611,87746,8256052,8156248,1778018162,0
39,86611,87746,8305556,8205756,1778018162,0
40,86611,87746,8306340,8206536,1778018162,0
41,86611,87746,8322356,8222552,1778018162,0
42,86611,87746,8328836,8229032,1778018165,0
43,86611,87746,8331432,8231748,1778018167,0
44,86611,87746,8359776,8260040,1778018168,0
45,86611,87746,9934684,9836240,1778018169,0
47,86611,87746,10190756,10093292,1778018170,0
48,86611,87746,10668484,10569728,1778018170,0
49,86611,87746,10822316,10722512,1778018172,0
50,86611,87746,10871912,10772240,1778018174,1
