elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,90871,,2164,0,1778018188,0
1,90871,,72728,0,1778018188,0
2,90871,,73056,0,1778018188,0
3,90871,,73312,0,1778018188,0
4,90871,,73668,0,1778018188,0
5,90871,,73956,0,1778018188,0
6,90871,,74036,0,1778018188,0
7,90871,,79276,0,1778018188,0
8,90871,91600,187808,108756,1778018188,0
9,90871,91600,1086584,1020132,1778018303,0
10,90871,91600,2150108,2051204,1778018304,0
11,90871,91600,2405204,2306072,1778018305,0
13,90871,91600,2564976,2525204,1778018305,0
14,90871,91600,5028948,4929760,1778018305,0
15,90871,91600,5044376,4945196,1778018309,0
16,90871,91600,5073944,4974724,1778018310,0
17,90871,91600,5089404,4990168,1778018311,0
18,90871,91600,5134640,5035632,1778018312,0
19,90871,91600,3519608,3420612,1778018313,0
20,90871,91600,3552332,3498536,1778018314,0
21,90871,91600,3839448,3740404,1778018315,0
22,90871,91600,3913772,3816308,1778018317,0
24,90871,91600,4046400,3949108,1778018318,0
25,90871,91600,5963584,5866276,1778018319,0
26,90871,91600,6033916,5934680,1778018320,0
27,90871,91600,6040344,5941356,1778018321,0
28,90871,91600,6056972,5957736,1778018322,0
29,90871,91600,6082808,5983840,1778018323,0
30,90871,91600,6112856,6014036,1778018324,0
31,90871,91600,6146360,6047508,1778018325,0
32,90871,91600,6181056,6081820,1778018326,0
34,90871,91600,6187764,6088528,1778018326,0
35,90871,91600,6464508,6366464,1778018329,0
36,90871,91600,6946004,6851220,1778018330,0
37,90871,91600,7754548,7655312,1778018331,0
38,90871,91600,7918232,7821180,1778018332,0
39,90871,91600,8025180,7926016,1778018333,0
40,90871,91600,8050520,7951380,1778018334,0
41,90871,91600,8080424,7981260,1778018334,0
42,90871,91600,8091444,7992280,1778018334,0
44,90871,91600,8107164,8008000,1778018334,0
45,90871,91600,8108152,8008988,1778018338,0
46,90871,91600,8108580,8009416,1778018338,0
47,90871,91600,8116604,8017440,1778018340,0
48,90871,91600,8236372,8137512,1778018342,0
49,90871,91600,9261476,9163572,1778018343,0
50,90871,91600,9557480,9454228,1778018344,0
51,90871,91600,10014200,9918136,1778018344,0
52,90871,91600,10127976,10028812,1778018346,0
53,90871,91600,10174028,10075148,1778018347,1
