elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,107785,,2124,0,1778018728,0
1,107785,,72912,0,1778018728,0
2,107785,,73232,0,1778018728,0
3,107785,,73464,0,1778018728,0
4,107785,,73944,0,1778018728,0
5,107785,,74220,0,1778018728,0
6,107785,,95836,0,1778018728,0
7,107785,108267,385696,319236,1778018728,0
9,107785,108267,730300,631972,1778018728,0
10,107785,108267,2033688,1934444,1778018843,0
11,107785,108267,2324300,2225692,1778018843,0
12,107785,108267,2524832,2425848,1778018843,0
13,107785,108267,2587840,2488556,1778018843,0
14,107785,108267,2595480,2496288,1778018843,0
15,107785,108267,2608168,2509544,1778018848,0
16,107785,108267,2622040,2522808,1778018849,0
17,107785,108267,2755760,2656660,1778018850,0
19,107785,108267,2786076,2687064,1778018851,0
20,107785,108267,2817388,2718412,1778018853,0
21,107785,108267,2854248,2755400,1778018854,0
22,107785,108267,2972860,2874780,1778018855,0
23,107785,108267,4979124,4902068,1778018856,0
24,107785,108267,5423264,5324100,1778018857,0
25,107785,108267,5430944,5331680,1778018857,0
26,107785,108267,5442524,5343512,1778018859,0
27,107785,108267,5453492,5354236,1778018860,0
28,107785,108267,5477536,5378516,1778018861,0
30,107785,108267,5504884,5405892,1778018863,0
31,107785,108267,5537896,5438900,1778018864,0
32,107785,108267,5604688,5505396,1778018865,0
33,107785,108267,5631672,5532380,1778018865,0
34,107785,108267,5953052,5861500,1778018867,0
35,107785,108267,6710684,6613784,1778018868,0
36,107785,108267,7108412,7009348,1778018869,0
38,107785,108267,7226864,7129676,1778018870,0
39,107785,108267,7475780,7378600,1778018872,0
40,107785,108267,7507772,7408536,1778018872,0
41,107785,108267,7541060,7441836,1778018874,0
42,107785,108267,7554424,7455192,1778018875,0
43,107785,108267,7559628,7460412,1778018875,0
44,107785,108267,7590552,7491316,1778018877,0
45,107785,108267,7590728,7491492,1778018877,0
46,107785,108267,7603524,7506532,1778018879,0
47,107785,108267,9000284,8901048,1778018880,0
49,107785,108267,9205476,9106248,1778018881,0
50,107785,108267,9572956,9473700,1778018882,0
51,107785,108267,10032308,9926476,1778018882,0
52,107785,108267,10064424,9965188,1778018884,0
53,107785,108267,10135720,10036780,1778018886,1
