elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,115778,,2216,0,1778019086,0
1,115778,,72580,0,1778019086,0
2,115778,,72944,0,1778019086,0
3,115778,,73276,0,1778019086,0
4,115778,,73496,0,1778019086,0
5,115778,,73852,0,1778019086,0
6,115778,,74136,0,1778019086,0
7,115778,,89452,0,1778019086,0
8,115778,116298,610468,517436,1778019086,0
10,115778,116298,1673688,1605328,1778019223,0
11,115778,116298,2196440,2154944,1778019224,0
12,115778,116298,2396932,2298156,1778019225,0
13,115778,116298,4461964,4414460,1778019225,0
14,115778,116298,4882180,4783076,1778019225,0
15,115778,116298,4889904,4790832,1778019229,0
16,115778,116298,4916448,4817340,1778019230,0
17,115778,116298,4929512,4830408,1778019231,0
18,115778,116298,4968764,4870148,1778019232,0
20,115778,116298,3410252,3311356,1778019233,0
21,115778,116298,3511452,3415864,1778019235,0
22,115778,116298,3553264,3455052,1778019236,0
23,115778,116298,3712328,3614284,1778019237,0
24,115778,116298,4671904,4573832,1778019238,0
25,115778,116298,4765664,4666880,1778019239,0
26,115778,116298,4772660,4673544,1778019239,0
28,115778,116298,4787564,4688632,1778019241,0
29,115778,116298,5873836,5779228,1778019243,0
30,115778,116298,6259884,6161196,1778019244,0
31,115778,116298,6284456,6185580,1778019245,0
32,115778,116298,6339312,6240196,1778019246,0
33,115778,116298,6369468,6271464,1778019246,0
34,115778,116298,6790260,6707084,1778019248,0
35,115778,116298,7556132,7465408,1778019249,0
36,115778,116298,7865412,7766384,1778019250,0
38,115778,116298,8046128,7949132,1778019251,0
39,115778,116298,8272844,8173992,1778019253,0
40,115778,116298,8274820,8175792,1778019254,0
41,115778,116298,8295272,8196264,1778019254,0
42,115778,116298,8312220,8213184,1778019254,0
43,115778,116298,8312700,8213656,1778019254,0
44,115778,116298,8341192,8242148,1778019258,0
45,115778,116298,8341488,8242444,1778019258,0
46,115778,116298,8354232,8255188,1778019260,0
47,115778,116298,8482464,8383472,1778019261,0
49,115778,116298,9997076,9899452,1778019263,0
50,115778,116298,10420068,10324540,1778019263,0
51,115778,116298,10834284,10735240,1778019265,0
52,115778,116298,10873012,10773968,1778019265,0
53,115778,116298,10911812,10813124,1778019267,1
