elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,120156,,2080,0,1778019285,0
1,120156,,72652,0,1778019285,0
2,120156,,73004,0,1778019285,0
3,120156,,73288,0,1778019285,0
4,120156,,73796,0,1778019285,0
5,120156,,74012,0,1778019285,0
6,120156,,95608,0,1778019285,0
8,120156,120674,173660,76364,1778019285,0
9,120156,120674,665664,571596,1778019285,0
10,120156,120674,1345624,1262848,1778019566,0
11,120156,120674,2049436,1950872,1778019568,0
12,120156,120674,2363684,2265688,1778019569,0
13,120156,120674,2662140,2564832,1778019569,0
15,120156,120674,2723432,2624240,1778019569,0
16,120156,120674,2730800,2632272,1778019569,0
17,120156,120674,2750956,2651940,1778019574,0
18,120156,120674,2762824,2663640,1778019575,0
19,120156,120674,2880084,2781400,1778019576,0
20,120156,120674,2906684,2807768,1778019577,0
21,120156,120674,2937584,2838832,1778019578,0
22,120156,120674,2960320,2861412,1778019579,0
23,120156,120674,3038596,2941604,1778019580,0
24,120156,120674,4099060,4030316,1778019581,0
26,120156,120674,5810292,5712692,1778019583,0
27,120156,120674,5837588,5738396,1778019583,0
28,120156,120674,5848012,5749020,1778019585,0
29,120156,120674,5859312,5760120,1778019586,0
30,120156,120674,5876956,5778004,1778019587,0
31,120156,120674,5905040,5806104,1778019588,0
32,120156,120674,5969484,5870456,1778019589,0
33,120156,120674,6014308,5915116,1778019590,0
34,120156,120674,6018816,5919624,1778019590,0
36,120156,120674,6374096,6276388,1778019593,0
37,120156,120674,7137804,7038952,1778019594,0
38,120156,120674,7701640,7602748,1778019595,0
39,120156,120674,7848244,7751188,1778019596,0
40,120156,120674,8088668,7991636,1778019597,0
41,120156,120674,8161212,8062108,1778019598,0
42,120156,120674,8180504,8081400,1778019599,0
43,120156,120674,8208488,8109972,1778019599,0
45,120156,120674,8217568,8118464,1778019599,0
46,120156,120674,8233416,8134312,1778019602,0
47,120156,120674,8233728,8134624,1778019602,0
48,120156,120674,8233868,8134764,1778019602,0
49,120156,120674,8257864,8158760,1778019605,0
50,120156,120674,8266148,8167132,1778019607,0
51,120156,120674,9701732,9602628,1778019608,0
53,120156,120674,9904456,9805336,1778019610,0
54,120156,120674,10178268,10088276,1778019610,0
55,120156,120674,10583016,10494700,1778019610,0
56,120156,120674,10756700,10657916,1778019613,0
57,120156,120674,10806292,10707720,1778019614,1
