elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,132787,,2476,0,1778019634,0
1,132787,,72772,0,1778019634,0
2,132787,,73108,0,1778019634,0
3,132787,,73340,0,1778019634,0
4,132787,,73688,0,1778019634,0
6,132787,,74004,0,1778019634,0
7,132787,,95636,0,1778019634,0
8,132787,133375,326408,269088,1778019634,0
9,132787,133375,681288,582772,1778019634,0
10,132787,133375,1379988,1305380,1778019747,0
11,132787,133375,2032648,1934004,1778019749,0
13,132787,133375,2348588,2249760,1778019750,0
14,132787,133375,2408036,2309768,1778019751,0
15,132787,133375,2467764,2368680,1778019751,0
16,132787,133375,2495612,2398824,1778019753,0
17,132787,133375,2517640,2423596,1778019755,0
18,132787,133375,2838508,2739784,1778019756,0
