elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,143462,,2000,0,1778019757,0
1,143462,,72852,0,1778019757,0
2,143462,,73204,0,1778019757,0
3,143462,,73364,0,1778019757,0
4,143462,,73784,0,1778019757,0
5,143462,,74024,0,1778019757,0
6,143462,,74392,0,1778019757,0
7,143462,,139620,0,1778019757,0
8,143462,143997,648880,551964,1778019757,0
9,143462,143997,2012976,1913268,1778019820,0
10,143462,143997,2329260,2229848,1778019821,0
12,143462,143997,2406256,2306608,1778019821,0
13,143462,143997,3894988,3795092,1778019821,0
14,143462,143997,3902892,3802988,1778019825,0
15,143462,143997,3923872,3824220,1778019826,0
16,143462,143997,3940240,3853120,1778019827,0
17,143462,143997,4046424,3946768,1778019828,0
18,143462,143997,3556384,3456744,1778019829,0
19,143462,143997,3618884,3518972,1778019830,0
20,143462,143997,3636548,3537456,1778019831,0
21,143462,143997,3756288,3658236,1778019832,0
23,143462,143997,4385604,4288544,1778019834,0
24,143462,143997,6871428,6771792,1778019835,0
25,143462,143997,6921916,6822004,1778019835,0
26,143462,143997,6937712,6837948,1778019837,0
27,143462,143997,6948524,6848800,1778019837,0
28,143462,143997,6973296,6873624,1778019839,0
29,143462,143997,7004224,6904324,1778019840,0
30,143462,143997,7044128,6944544,1778019841,0
31,143462,143997,7064352,6964584,1778019842,0
33,143462,143997,7311100,7214384,1778019844,0
34,143462,143997,7718988,7623468,1778019845,0
35,143462,143997,8068132,7968424,1778019846,0
36,143462,143997,8242496,8144632,1778019847,0
37,143462,143997,8316804,8217692,1778019848,0
38,143462,143997,8340768,8240916,1778019849,0
39,143462,143997,8353492,8253652,1778019850,0
40,143462,143997,8361240,8261384,1778019851,0
42,143462,143997,8362168,8262312,1778019852,0
43,143462,143997,8363936,8264144,1778019854,0
44,143462,143997,8364160,8264304,1778019854,0
45,143462,143997,8367912,8268056,1778019856,0
46,143462,143997,9322640,9222784,1778019857,0
47,143462,143997,9409120,9309264,1778019858,0
48,143462,143997,9848128,9757864,1778019858,0
49,143462,143997,10232148,10132452,1778019860,0
50,143462,143997,10270576,10170720,1778019860,0
51,143462,143997,10266956,10167108,1778019862,0
52,143462,143997,10315440,10215912,1778019864,1
