elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,151778,,3036,0,1778020045,0
1,151778,,72604,0,1778020045,0
2,151778,,73156,0,1778020045,0
3,151778,,73392,0,1778020045,0
4,151778,,73812,0,1778020045,0
5,151778,,74128,0,1778020045,0
6,151778,,74132,0,1778020045,0
7,151778,,138264,0,1778020045,0
8,151778,152243,691428,594756,1778020045,0
10,151778,152243,2063768,1964680,1778020157,0
11,151778,152243,2339560,2240584,1778020157,0
12,151778,152243,2403592,2304256,1778020157,0
13,151778,152243,2414772,2315516,1778020157,0
14,151778,152243,2463632,2364300,1778020161,0
15,151778,152243,2493444,2394116,1778020162,0
16,151778,152243,2637856,2538864,1778020163,0
17,151778,152243,2668328,2569256,1778020164,0
18,151778,152243,2705904,2609936,1778020165,0
19,151778,152243,2730796,2631632,1778020166,0
21,151778,152243,2825604,2727800,1778020168,0
22,151778,152243,5375812,5331828,1778020169,0
23,151778,152243,5691056,5592076,1778020170,0
24,151778,152243,5734028,5634692,1778020170,0
25,151778,152243,5746068,5646916,1778020172,0
26,151778,152243,5764540,5665356,1778020173,0
27,151778,152243,5790260,5690940,1778020174,0
28,151778,152243,5829044,5729840,1778020175,0
30,151778,152243,5852380,5753048,1778020176,0
31,151778,152243,6183696,6089128,1778020178,0
32,151778,152243,6979180,6884264,1778020179,0
33,151778,152243,7369304,7270280,1778020180,0
34,151778,152243,7541784,7444532,1778020181,0
35,151778,152243,7750156,7650820,1778020182,0
36,151778,152243,7768704,7669460,1778020183,0
37,151778,152243,7778472,7679236,1778020184,0
38,151778,152243,7784180,7685328,1778020184,0
40,151778,152243,7793916,7694652,1778020186,0
41,151778,152243,8846164,8746900,1778020186,0
42,151778,152243,8868256,8769116,1778020189,0
43,151778,152243,10405524,10306396,1778020190,0
44,151778,152243,10798280,10702060,1778020190,0
45,151778,152243,11267568,11166764,1778020190,0
46,151778,152243,11296064,11196804,1778020193,0
47,151778,152243,11334864,11240016,1778020194,1
