elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,163904,,1704,0,1778020211,0
1,163904,,72816,0,1778020211,0
3,163904,,73076,0,1778020211,0
4,163904,,73304,0,1778020211,0
5,163904,,73876,0,1778020211,0
6,163904,,74348,0,1778020211,0
7,163904,,98252,0,1778020211,0
8,163904,164930,496980,422348,1778020211,0
9,163904,164930,733684,634012,1778020326,0
10,163904,164930,2080920,1983660,1778020327,0
11,163904,164930,2374252,2274704,1778020328,0
12,163904,164930,2611872,2512172,1778020328,0
13,163904,164930,2613536,2513700,1778020328,0
15,163904,164930,2641124,2541620,1778020332,0
16,163904,164930,2668648,2568816,1778020333,0
17,163904,164930,2730804,2631012,1778020334,0
18,163904,164930,2820688,2721076,1778020335,0
19,163904,164930,2849680,2750188,1778020336,0
20,163904,164930,2885912,2786068,1778020337,0
21,163904,164930,2927484,2828580,1778020338,0
22,163904,164930,4651884,4586992,1778020339,0
23,163904,164930,5345024,5245884,1778020340,0
25,163904,164930,5374172,5274456,1778020341,0
26,163904,164930,5380064,5280220,1778020343,0
27,163904,164930,5393232,5293388,1778020343,0
28,163904,164930,6595120,6532400,1778020345,0
29,163904,164930,7098860,6999356,1778020346,0
30,163904,164930,7126284,7026444,1778020347,0
31,163904,164930,7158100,7058272,1778020348,0
32,163904,164930,7162532,7062688,1778020349,0
33,163904,164930,7596408,7513536,1778020350,0
34,163904,164930,8411708,8320376,1778020352,0
36,163904,164930,8718672,8619944,1778020352,0
37,163904,164930,8913116,8815260,1778020354,0
38,163904,164930,9103384,9003588,1778020355,0
39,163904,164930,9108744,9009040,1778020356,0
40,163904,164930,9144200,9044396,1778020357,0
41,163904,164930,9151480,9051676,1778020358,0
42,163904,164930,9157560,9060360,1778020359,0
43,163904,164930,9164008,9064204,1778020359,0
44,163904,164930,9176828,9077020,1778020361,0
45,163904,164930,9311448,9211676,1778020362,0
46,163904,164930,10799872,10700072,1778020364,0
48,163904,164930,11234096,11133144,1778020364,0
49,163904,164930,11624720,11524916,1778020366,0
50,163904,164930,11669832,11570084,1778020366,0
51,163904,164930,11685096,11585292,1778020367,0
52,163904,164930,11717028,11617532,1778020369,1
