elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,171659,,2272,0,1778020545,0
1,171659,,72524,0,1778020545,0
2,171659,,73020,0,1778020545,0
3,171659,,73276,0,1778020545,0
4,171659,,73668,0,1778020545,0
5,171659,,73968,0,1778020545,0
6,171659,,74352,0,1778020545,0
7,171659,,134952,0,1778020545,0
9,171659,172197,637112,538040,1778020545,0
10,171659,172197,1928972,1861980,1778020659,0
11,171659,172197,2337000,2237600,1778020661,0
12,171659,172197,2412400,2313064,1778020661,0
13,171659,172197,3747372,3647928,1778020661,0
14,171659,172197,3749136,3649632,1778020661,0
15,171659,172197,3777080,3677768,1778020665,0
16,171659,172197,3790852,3691296,1778020666,0
17,171659,172197,3821260,3721920,1778020667,0
19,171659,172197,3810772,3711260,1778020669,0
20,171659,172197,3843352,3744316,1778020670,0
21,171659,172197,3885428,3785872,1778020670,0
22,171659,172197,3971840,3874712,1778020672,0
23,171659,172197,4159444,4100644,1778020673,0
24,171659,172197,6098428,6000960,1778020674,0
25,171659,172197,6921972,6822416,1778020675,0
26,171659,172197,6928792,6829428,1778020676,0
27,171659,172197,6941072,6841516,1778020677,0
29,171659,172197,6960084,6860688,1778020678,0
30,171659,172197,6988244,6889032,1778020680,0
31,171659,172197,7019224,6919724,1778020681,0
32,171659,172197,7062256,6962672,1778020682,0
33,171659,172197,7065076,6965520,1778020682,0
34,171659,172197,7423792,7327584,1778020684,0
35,171659,172197,8205772,8112616,1778020685,0
36,171659,172197,8591652,8492380,1778020686,0
37,171659,172197,8765956,8668436,1778020687,0
38,171659,172197,8974080,8874632,1778020688,0
39,171659,172197,8977212,8877712,1778020689,0
41,171659,172197,9006148,8906664,1778020691,0
42,171659,172197,9007940,8908440,1778020691,0
43,171659,172197,9013676,8914176,1778020691,0
44,171659,172197,9021800,8922300,1778020693,0
45,171659,172197,9021832,8922332,1778020693,0
46,171659,172197,9037300,8937824,1778020696,0
47,171659,172197,10473672,10374172,1778020697,0
48,171659,172197,10678624,10579204,1778020698,0
49,171659,172197,11138812,11046464,1778020698,0
50,171659,172197,11516480,11418944,1778020700,0
51,171659,172197,11558380,11458888,1778020701,0
52,171659,172197,11609912,11510728,1778020702,1
