elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,179157,,2220,0,1778020885,0
1,179157,,72592,0,1778020885,0
2,179157,,73008,0,1778020885,0
3,179157,,73300,0,1778020885,0
4,179157,,73788,0,1778020885,0
5,179157,,74028,0,1778020885,0
6,179157,,74576,0,1778020885,0
7,179157,,97552,0,1778020885,0
8,179157,179694,734328,635480,1778021002,0
9,179157,179694,2083400,1984776,1778021003,0
10,179157,179694,2400220,2301484,1778021004,0
11,179157,179694,3112476,3072972,1778021004,0
13,179157,179694,3993528,3894600,1778021004,0
14,179157,179694,4022812,3923884,1778021008,0
15,179157,179694,4049060,3950132,1778021009,0
16,179157,179694,4076908,3978056,1778021010,0
17,179157,179694,4165564,4066888,1778021011,0
18,179157,179694,3662120,3563496,1778021012,0
19,179157,179694,3707100,3608172,1778021013,0
20,179157,179694,3768544,3671416,1778021014,0
21,179157,179694,3916116,3818512,1778021015,0
22,179157,179694,5514160,5417440,1778021017,0
24,179157,179694,6964412,6865484,1778021017,0
25,179157,179694,6971808,6873188,1778021019,0
26,179157,179694,6983180,6884252,1778021019,0
27,179157,179694,6999564,6900952,1778021021,0
28,179157,179694,7028104,6929440,1778021022,0
29,179157,179694,7052696,6954044,1778021023,0
30,179157,179694,7087212,6988284,1778021024,0
31,179157,179694,7088856,6989932,1778021025,0
32,179157,179694,7417272,7321572,1778021026,0
34,179157,179694,8199260,8100436,1778021028,0
35,179157,179694,8418860,8322036,1778021029,0
36,179157,179694,8479228,8380312,1778021029,0
37,179157,179694,8489752,8390932,1778021031,0
38,179157,179694,8494272,8395432,1778021032,0
39,179157,179694,8519656,8420824,1778021033,0
40,179157,179694,8520776,8421948,1778021033,0
41,179157,179694,8521440,8422604,1778021033,0
42,179157,179694,8528184,8429408,1778021036,0
43,179157,179694,9684176,9585440,1778021037,0
45,179157,179694,9838392,9744632,1778021038,0
46,179157,179694,10307488,10213736,1778021038,0
47,179157,179694,10573068,10474652,1778021040,0
48,179157,179694,10615340,10517112,1778021042,1
