elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,186288,,2148,0,1778021225,0
1,186288,,72952,0,1778021225,0
2,186288,,73200,0,1778021225,0
3,186288,,73420,0,1778021225,0
4,186288,,73928,0,1778021225,0
5,186288,,74144,0,1778021225,0
6,186288,,74472,0,1778021225,0
7,186288,,154020,0,1778021225,0
8,186288,186793,805364,736348,1778021336,0
9,186288,186793,2170248,2070668,1778021337,0
10,186288,186793,2377100,2277496,1778021337,0
11,186288,186793,3248648,3206220,1778021337,0
12,186288,186793,3813104,3714828,1778021337,0
14,186288,186793,3826520,3726708,1778021342,0
15,186288,186793,3844524,3744756,1778021343,0
16,186288,186793,3871676,3772228,1778021344,0
17,186288,186793,3938272,3839016,1778021345,0
18,186288,186793,3494316,3395000,1778021346,0
19,186288,186793,3567336,3467520,1778021347,0
20,186288,186793,3601152,3505208,1778021348,0
21,186288,186793,3752836,3654220,1778021349,0
22,186288,186793,5234828,5135992,1778021350,0
24,186288,186793,6359532,6268376,1778021351,0
25,186288,186793,6420248,6320704,1778021353,0
26,186288,186793,7717508,7617780,1778021353,0
27,186288,186793,7751872,7652676,1778021355,0
28,186288,186793,7790060,7690248,1778021356,0
29,186288,186793,7836820,7737004,1778021357,0
30,186288,186793,7856404,7756588,1778021357,0
31,186288,186793,8262740,8162956,1778021359,0
32,186288,186793,9065660,8974960,1778021360,0
33,186288,186793,9320276,9220460,1778021361,0
35,186288,186793,9559320,9463612,1778021363,0
36,186288,186793,9698736,9598920,1778021363,0
37,186288,186793,9714624,9614912,1778021365,0
38,186288,186793,9733780,9634144,1778021365,0
39,186288,186793,9739532,9639804,1778021367,0
40,186288,186793,9741080,9641352,1778021367,0
41,186288,186793,9751336,9651608,1778021369,0
42,186288,186793,11180228,11080500,1778021370,0
43,186288,186793,11357480,11257752,1778021371,0
44,186288,186793,11787388,11687748,1778021371,0
45,186288,186793,12188108,12088504,1778021373,0
46,186288,186793,12226960,12127520,1778021374,1
