elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,189805,,1756,0,1778021391,0
1,189805,,72884,0,1778021391,0
2,189805,,73136,0,1778021391,0
4,189805,,73360,0,1778021391,0
5,189805,,73936,0,1778021391,0
6,189805,,74072,0,1778021391,0
7,189805,,99744,0,1778021391,0
8,189805,190290,642152,542472,1778021391,0
9,189805,190290,2000304,1905572,1778021502,0
10,189805,190290,2325564,2225396,1778021503,0
11,189805,190290,2403644,2304036,1778021503,0
12,189805,190290,4366644,4266804,1778021503,0
13,189805,190290,4377004,4278224,1778021503,0
14,189805,190290,4411292,4311616,1778021507,0
15,189805,190290,4431908,4332148,1778021508,0
17,189805,190290,4482472,4383076,1778021510,0
18,189805,190290,3491756,3392272,1778021510,0
19,189805,190290,3587864,3488652,1778021512,0
20,189805,190290,3600940,3501536,1778021513,0
21,189805,190290,3729584,3631456,1778021514,0
22,189805,190290,4411888,4320176,1778021515,0
23,189805,190290,7346432,7824188,1778021516,0
25,189805,190290,9596296,9496456,1778021516,0
26,189805,190290,9612124,9512440,1778021519,0
27,189805,190290,9637764,9538160,1778021520,0
28,189805,190290,9666468,9566832,1778021521,0
29,189805,190290,9690656,9590840,1778021522,0
30,189805,190290,9728508,9628844,1778021523,0
31,189805,190290,9742944,9643340,1778021523,0
32,189805,190290,10063476,9964620,1778021525,0
33,189805,190290,10845912,10746456,1778021526,0
35,189805,190290,11257820,11158380,1778021528,0
36,189805,190290,11382196,11284448,1778021528,0
37,189805,190290,11652040,11554556,1778021530,0
38,189805,190290,11677224,11577440,1778021531,0
39,189805,190290,11715452,11615668,1778021532,0
40,189805,190290,11797208,11697424,1778021533,0
41,189805,190290,11797876,11698092,1778021534,0
42,189805,190290,11804280,11704496,1778021535,0
43,189805,190290,11805604,11705820,1778021535,0
44,189805,190290,11827032,11729844,1778021537,0
46,189805,190290,13251772,13151988,1778021538,0
47,189805,190290,13464128,13364344,1778021539,0
48,189805,190290,13926648,13831872,1778021540,0
49,189805,190290,14298060,14198888,1778021542,0
50,189805,190290,14332152,14232360,1778021543,0
51,189805,190290,14328444,14228660,1778021544,0
52,189805,190290,14328720,14228936,1778021544,0
53,189805,190290,14328816,14229032,1778021544,0
54,189805,190290,14328936,14229152,1778021544,0
55,189805,190290,14328984,14229200,1778021544,0
56,189805,190290,14330560,14230776,1778021544,0
57,189805,190290,14330720,14230936,1778021544,0
59,189805,190290,14330764,14230980,1778021544,0
60,189805,190290,14346940,14247316,1778021553,1
