elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,193806,,2388,0,1778021555,0
1,193806,,72704,0,1778021555,0
2,193806,,73108,0,1778021555,0
3,193806,,73332,0,1778021555,0
4,193806,,73776,0,1778021555,0
5,193806,,74068,0,1778021555,0
6,193806,,74484,0,1778021555,0
8,193806,,153044,0,1778021555,0
9,193806,194307,650404,551988,1778021555,0
10,193806,194307,1989240,1890964,1778021681,0
11,193806,194307,2294792,2196304,1778021682,0
12,193806,194307,2397576,2299164,1778021682,0
13,193806,194307,5009040,4910140,1778021682,0
14,193806,194307,5010572,4911760,1778021682,0
15,193806,194307,5046156,4947280,1778021686,0
16,193806,194307,5058060,4959208,1778021687,0
18,193806,194307,5103552,5004824,1778021689,0
19,193806,194307,3550336,3451620,1778021690,0
20,193806,194307,3587860,3492336,1778021691,0
21,193806,194307,3908476,3809624,1778021692,0
22,193806,194307,4030888,3934752,1778021693,0
23,193806,194307,5087540,5018780,1778021694,0
24,193806,194307,5963364,5864464,1778021695,0
25,193806,194307,5995924,5897356,1778021695,0
27,193806,194307,6019240,5920484,1778021697,0
28,193806,194307,6042140,5943516,1778021699,0
29,193806,194307,6071832,5973168,1778021700,0
30,193806,194307,6091152,5992252,1778021701,0
31,193806,194307,6140452,6041632,1778021702,0
32,193806,194307,6150000,6054932,1778021702,0
33,193806,194307,6481332,6382724,1778021704,0
34,193806,194307,7250972,7152680,1778021705,0
35,193806,194307,8374304,8275700,1778021706,0
37,193806,194307,8520704,8425956,1778021707,0
38,193806,194307,8758620,8662660,1778021709,0
39,193806,194307,8797844,8699000,1778021710,0
40,193806,194307,8827996,8729176,1778021710,0
41,193806,194307,8838552,8739708,1778021710,0
42,193806,194307,8853312,8754476,1778021710,0
43,193806,194307,8863948,8765104,1778021713,0
44,193806,194307,8864236,8765392,1778021713,0
45,193806,194307,8896324,8797760,1778021716,0
46,193806,194307,10328436,10229592,1778021717,0
47,193806,194307,10537772,10438928,1778021718,0
49,193806,194307,10983292,10886972,1778021719,0
50,193806,194307,11366444,11268024,1778021721,0
51,193806,194307,11401464,11303436,1778021721,0
52,193806,194307,11448572,11350880,1778021723,1
