elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,198202,,2204,0,1778021746,0
1,198202,,72476,0,1778021746,0
2,198202,,72808,0,1778021746,0
3,198202,,73232,0,1778021746,0
4,198202,,73628,0,1778021746,0
5,198202,,73836,0,1778021746,0
6,198202,,74020,0,1778021746,0
7,198202,,99028,0,1778021746,0
8,198202,198721,477300,377868,1778021746,0
9,198202,198721,1103008,1021036,1778021851,0
11,198202,198721,2157640,2081776,1778021852,0
12,198202,198721,2387260,2287044,1778021853,0
13,198202,198721,4496200,4457096,1778021853,0
14,198202,198721,5006648,4906092,1778021853,0
15,198202,198721,5021628,4922644,1778021857,0
16,198202,198721,5043552,4942992,1778021858,0
17,198202,198721,5093928,4994428,1778021859,0
18,198202,198721,3399420,3299216,1778021860,0
19,198202,198721,3432056,3331492,1778021861,0
20,198202,198721,3731388,3630824,1778021862,0
21,198202,198721,3773744,3673756,1778021863,0
23,198202,198721,3929660,3830372,1778021865,0
24,198202,198721,5728684,5665440,1778021866,0
25,198202,198721,6092748,5992260,1778021867,0
26,198202,198721,6106692,6006336,1778021868,0
27,198202,198721,6121368,6020804,1778021869,0
28,198202,198721,6149960,6049796,1778021870,0
29,198202,198721,6177440,6077204,1778021871,0
30,198202,198721,6214876,6114584,1778021872,0
31,198202,198721,6254880,6154348,1778021873,0
32,198202,198721,6267608,6167044,1778021873,0
34,198202,198721,6607376,6507868,1778021876,0
35,198202,198721,7486588,7402904,1778021877,0
36,198202,198721,8468500,8368272,1778021878,0
37,198202,198721,8607356,8508900,1778021879,0
38,198202,198721,8845968,8749572,1778021880,0
39,198202,198721,8869992,8769464,1778021881,0
40,198202,198721,8883124,8782680,1778021882,0
41,198202,198721,8888184,8787676,1778021883,0
42,198202,198721,8890556,8790080,1778021884,0
44,198202,198721,8893600,8793092,1778021885,0
45,198202,198721,8893984,8793476,1778021885,0
46,198202,198721,8914020,8814576,1778021888,0
47,198202,198721,10356760,10256252,1778021888,0
48,198202,198721,10562564,10462060,1778021890,0
49,198202,198721,11002776,10909536,1778021890,0
50,198202,198721,11395116,11294940,1778021892,0
51,198202,198721,11432248,11331740,1778021893,0
52,198202,198721,11443512,11344436,1778021894,1
