phase,status,reason,disabled_count,loaded_mods,block_atlas,emi_reload_ms,rss_mib,anonymous_mib,hist_total_mib,heap_total_mib,heap_used_mib,metaspace_used_mib,byte_arrays_mib,int_arrays_mib,baked_quads_mib,emi_item_stacks_mib,item_stacks_mib,max_client_mib,joined_at_sec,run_dir
baseline,PASS,client_joined_server,0,,16384x16384x4,11713,13245.3,13099.5,4542.7,6960.0,6172.9,,777.2,488.0,203.9,193.4,104.7,10456.8,57,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/01_baseline/client_join_probe/20260506-081917
no_emi_jei_recipe_index,FAIL,client_fatal_log_signature,16,,1024x512x4,,,,,,,,,,,,,2675.6,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/02_no_emi_jei_recipe_index/client_join_probe/20260506-082218
no_tcon_addon_layer,PASS,client_joined_server,16,,16384x16384x4,10373,13138.9,12992.9,3903.4,8192.0,5397.5,,753.0,468.7,204.5,191.6,101.0,9976.5,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/03_no_tcon_addon_layer/client_join_probe/20260506-082331
no_create_addons,PASS,client_joined_server,50,,16384x16384x4,10231,12778.6,12636.6,4209.4,6800.0,5829.3,,725.2,424.6,176.8,176.9,94.1,9986.6,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/04_no_create_addons/client_join_probe/20260506-082621
no_biome_worldgen_dims,PASS,client_joined_server,48,,16384x16384x4,11334,14287.0,14145.2,3903.9,8192.0,6329.2,,725.8,420.0,163.0,152.1,83.8,10976.6,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/05_no_biome_worldgen_dims/client_join_probe/20260506-082907
no_food_farming,PASS,client_joined_server,38,,16384x16384x4,,11444.1,11313.2,2793.2,5776.0,3431.6,,721.6,358.2,188.9,0.0,0.4,11345.2,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/06_no_food_farming/client_join_probe/20260506-083157
no_magic_adventure_mobs,PASS,client_joined_server,48,,16384x16384x4,8837,11710.2,11568.3,3965.4,6516.0,5371.4,,730.9,411.6,168.4,166.4,78.0,9260.0,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/07_no_magic_adventure_mobs/client_join_probe/20260506-083443
no_emi_only,PASS,client_joined_server,4,,16384x16384x4,,14488.4,14346.5,4079.9,8192.0,6703.8,,776.9,440.5,203.7,0.0,102.2,11240.9,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/08_no_emi_only/client_join_probe/20260506-083730
no_jei_only,PASS,client_joined_server,4,,16384x16384x4,10959,13181.3,13039.4,4022.1,7020.0,6048.9,,769.9,494.5,203.9,49.2,79.5,10407.1,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/09_no_jei_only/client_join_probe/20260506-084022
no_fiahi,PASS,client_joined_server,2,,16384x16384x4,10955,13346.8,13204.8,4166.9,8192.0,5938.5,,765.2,304.6,105.7,194.6,105.1,10270.6,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/10_no_fiahi/client_join_probe/20260506-084313
no_coldsweat_fiahi,PASS,client_joined_server,6,,16384x16384x4,10516,11283.0,11137.1,4067.1,6176.0,5365.5,,665.6,304.4,105.7,192.4,95.4,10801.5,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/11_no_coldsweat_fiahi/client_join_probe/20260506-084601
no_quark_supplementaries,PASS,client_joined_server,8,,16384x16384x4,10528,12346.6,12205.0,4387.0,6388.0,5626.8,,823.5,464.8,192.3,175.7,87.5,11843.3,46,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/12_no_quark_supplementaries/client_join_probe/20260506-084848
no_natures_spirit_family,PASS,client_joined_server,6,,16384x16384x4,,14023.0,13892.1,2834.3,8192.0,3469.9,,728.9,374.4,195.5,0.0,0.6,13913.4,60,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/13_no_natures_spirit_family/client_join_probe/20260506-085133
no_dynamic_trees_family,PASS,client_joined_server,12,,16384x16384x4,10579,14498.8,14356.9,4507.1,8192.0,6547.3,,775.1,434.7,200.3,194.3,104.8,11084.8,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/14_no_dynamic_trees_family/client_join_probe/20260506-085431
no_placebo_apotheosis_stack,PASS,client_joined_server,12,,16384x16384x4,10780,14298.6,14156.8,4496.0,8192.0,5311.1,,772.9,480.2,202.5,191.6,93.5,11078.6,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/15_no_placebo_apotheosis_stack/client_join_probe/20260506-085722
no_create_new_age_stack,PASS,client_joined_server,14,,16384x16384x4,11423,13430.1,13288.0,4576.1,7560.0,6079.1,,775.9,487.0,203.3,193.9,104.0,10827.4,52,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_20260506-081837/16_no_create_new_age_stack/client_join_probe/20260506-090014
