elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,210031,,2484,0,1778022305,0
1,210031,,73048,0,1778022305,0
2,210031,,73184,0,1778022305,0
3,210031,,73316,0,1778022305,0
4,210031,,73916,0,1778022305,0
5,210031,,74068,0,1778022305,0
6,210031,,95504,0,1778022305,0
7,210031,210528,478692,380036,1778022305,0
8,210031,210528,1382660,1316444,1778022421,0
9,210031,210528,2223716,2125864,1778022422,0
10,210031,210528,2565760,2466892,1778022422,0
11,210031,210528,2627396,2528412,1778022422,0
12,210031,210528,2629040,2530128,1778022422,0
14,210031,210528,2653852,2556956,1778022427,0
15,210031,210528,2678860,2579932,1778022428,0
16,210031,210528,2818728,2720276,1778022429,0
17,210031,210528,2847112,2748556,1778022430,0
18,210031,210528,2881816,2783412,1778022431,0
19,210031,210528,2901748,2803044,1778022432,0
20,210031,210528,2969060,2870856,1778022433,0
21,210031,210528,4592984,4494308,1778022434,0
22,210031,210528,4752104,4654952,1778022435,0
24,210031,210528,4782152,4683168,1778022436,0
25,210031,210528,4788132,4689312,1778022438,0
26,210031,210528,4800360,4701584,1778022438,0
27,210031,210528,4821208,4722508,1778022440,0
28,210031,210528,4848956,4749972,1778022441,0
29,210031,210528,4882008,4783388,1778022442,0
30,210031,210528,4906676,4807716,1778022443,0
31,210031,210528,4918408,4819656,1778022443,0
32,210031,210528,5426780,5381868,1778022445,0
34,210031,210528,6937072,6838104,1778022447,0
35,210031,210528,7164792,7066284,1778022448,0
36,210031,210528,7407424,7310532,1778022449,0
37,210031,210528,7537340,7438412,1778022449,0
38,210031,210528,7551692,7452860,1778022451,0
39,210031,210528,7574004,7475076,1778022452,0
40,210031,210528,7576424,7477496,1778022452,0
41,210031,210528,7581140,7482212,1778022454,0
42,210031,210528,7581476,7482548,1778022454,0
43,210031,210528,7588084,7489204,1778022456,0
44,210031,210528,9010884,8916068,1778022457,0
46,210031,210528,9270304,9174432,1778022458,0
47,210031,210528,9748004,9646768,1778022458,0
48,210031,210528,10041904,9943224,1778022460,0
49,210031,210528,10073884,9975028,1778022462,0
50,210031,210528,10129428,10030760,1778022463,1
