elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,217398,,2152,0,1778022649,0
1,217398,,72676,0,1778022649,0
2,217398,,73168,0,1778022649,0
3,217398,,73384,0,1778022649,0
4,217398,,73796,0,1778022649,0
5,217398,,74092,0,1778022649,0
6,217398,,74644,0,1778022649,0
7,217398,,99644,0,1778022649,0
9,217398,217942,655500,559756,1778022649,0
10,217398,217942,2022088,1922356,1778022759,0
11,217398,217942,2304232,2216872,1778022759,0
12,217398,217942,2533972,2493664,1778022759,0
13,217398,217942,3713388,3613620,1778022759,0
14,217398,217942,3730960,3631228,1778022763,0
15,217398,217942,3760748,3661072,1778022764,0
16,217398,217942,3770856,3671092,1778022765,0
17,217398,217942,3826048,3726412,1778022766,0
18,217398,217942,3466472,3367036,1778022767,0
20,217398,217942,3542512,3442784,1778022768,0
21,217398,217942,3584520,3500248,1778022770,0
22,217398,217942,4091440,4338436,1778022771,0
23,217398,217942,5394928,5296300,1778022772,0
24,217398,217942,5704008,5604240,1778022772,0
25,217398,217942,5807120,5707512,1778022774,0
26,217398,217942,5818832,5719260,1778022775,0
27,217398,217942,5854988,5755196,1778022776,0
28,217398,217942,5882748,5782988,1778022777,0
30,217398,217942,5918272,5818860,1778022778,0
31,217398,217942,5949848,5850168,1778022779,0
32,217398,217942,6244224,6144732,1778022781,0
33,217398,217942,6757480,6660028,1778022782,0
34,217398,217942,7300080,7208464,1778022783,0
35,217398,217942,7474276,7374592,1778022784,0
36,217398,217942,7598036,7500440,1778022785,0
37,217398,217942,7610248,7510536,1778022786,0
39,217398,217942,7654612,7554932,1778022787,0
40,217398,217942,7665208,7565500,1778022787,0
41,217398,217942,7678612,7578900,1778022787,0
42,217398,217942,7678908,7579196,1778022790,0
43,217398,217942,7681588,7581876,1778022792,0
44,217398,217942,7697436,7597816,1778022793,0
45,217398,217942,8876668,8779672,1778022794,0
46,217398,217942,9124800,9026888,1778022795,0
47,217398,217942,9598556,9503952,1778022795,0
48,217398,217942,9766164,9666456,1778022797,0
49,217398,217942,9776660,9676948,1778022798,0
51,217398,217942,9820824,9721412,1778022800,1
