elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,221112,,2188,0,1778022817,0
2,221112,,72960,0,1778022817,0
3,221112,,73180,0,1778022817,0
4,221112,,73404,0,1778022817,0
5,221112,,73912,0,1778022817,0
6,221112,,74080,0,1778022817,0
7,221112,,79296,0,1778022817,0
8,221112,221608,361048,298712,1778022817,0
9,221112,221608,1255472,1180860,1778022927,0
10,221112,221608,2144860,2045728,1778022928,0
11,221112,221608,2382148,2283236,1778022928,0
12,221112,221608,3722192,3622976,1778022928,0
13,221112,221608,3727592,3628376,1778022928,0
14,221112,221608,3750200,3650988,1778022932,0
16,221112,221608,3771668,3672452,1778022934,0
17,221112,221608,3797680,3698476,1778022934,0
18,221112,221608,3503372,3404412,1778022936,0
19,221112,221608,3558124,3459300,1778022937,0
20,221112,221608,3599856,3501000,1778022938,0
21,221112,221608,3718776,3620800,1778022939,0
22,221112,221608,4819440,4762304,1778022940,0
23,221112,221608,5636348,5537276,1778022941,0
24,221112,221608,5668364,5569148,1778022942,0
26,221112,221608,5679076,5579868,1778022943,0
27,221112,221608,5691032,5591816,1778022944,0
28,221112,221608,5726592,5627508,1778022946,0
29,221112,221608,5766784,5667600,1778022947,0
30,221112,221608,5802664,5703792,1778022948,0
31,221112,221608,5823804,5724588,1778022948,0
32,221112,221608,5996344,5897476,1778022950,0
33,221112,221608,6640352,6576580,1778022951,0
35,221112,221608,7644208,7551380,1778022953,0
36,221112,221608,7787216,7690060,1778022954,0
37,221112,221608,8016512,7921396,1778022955,0
38,221112,221608,8136704,8037676,1778022955,0
39,221112,221608,8152884,8053764,1778022957,0
40,221112,221608,8168968,8069840,1778022958,0
41,221112,221608,8172144,8073016,1778022958,0
42,221112,221608,8193284,8094156,1778022960,0
43,221112,221608,8193568,8094444,1778022960,0
44,221112,221608,8212256,8113128,1778022962,0
45,221112,221608,9640836,9562252,1778022963,0
47,221112,221608,9874408,9775280,1778022965,0
48,221112,221608,10211376,10119404,1778022965,0
49,221112,221608,10685960,10591916,1778022965,0
50,221112,221608,10733456,10634336,1778022967,0
51,221112,221608,10738252,10639188,1778022968,0
52,221112,221608,10784740,10685724,1778022970,1
