elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,677842,,2556,0,1778042253,0
1,677842,,73748,0,1778042253,0
2,677842,,74004,0,1778042253,0
3,677842,,74220,0,1778042253,0
4,677842,,74792,0,1778042253,0
5,677842,,74952,0,1778042253,0
6,677842,,138980,0,1778042253,0
7,677842,678277,718768,632368,1778042253,0
8,677842,678277,2133256,2047020,1778042409,0
9,677842,678277,2188464,2101276,1778042409,0
10,677842,678277,2221412,2134276,1778042411,0
12,677842,678277,2285992,2198936,1778042412,0
13,677842,678277,2396216,2309252,1778042412,0
14,677842,678277,2443492,2356928,1778042415,0
15,677842,678277,2762136,2679140,1778042416,0
16,677842,678277,2896600,2810064,1778042417,0
17,677842,678277,3091064,3005904,1778042418,0
18,677842,678277,3098568,3011492,1778042419,0
20,677842,678277,3508296,3421052,1778042420,0
21,677842,678277,4207012,4119768,1778042420,0
22,677842,678277,4214636,4127628,1778042423,0
23,677842,678277,4254412,4167404,1778042424,0
24,677842,678277,4306144,4218996,1778042425,0
25,677842,678277,4310136,4222892,1778042425,0
26,677842,678277,4316412,4229168,1778042425,0
27,677842,678277,4316648,4229404,1778042425,0
28,677842,678277,4526568,4457460,1778042429,0
30,677842,678277,5608412,5560304,1778042431,0
31,677842,678277,6006520,5919348,1778042432,0
32,677842,678277,6008340,5921096,1778042433,0
33,677842,678277,6029376,5942132,1778042434,0
34,677842,678277,6029456,5942212,1778042434,0
35,677842,678277,6029496,5942252,1778042434,0
36,677842,678277,6029584,5942332,1778042434,0
37,677842,678277,6029672,5942420,1778042434,0
39,677842,678277,6029724,5942472,1778042434,0
40,677842,678277,6029760,5942508,1778042434,0
41,677842,678277,6029836,5942584,1778042434,0
42,677842,678277,6029844,5942592,1778042434,0
43,677842,678277,6029956,5942704,1778042434,0
44,677842,678277,6030000,5942748,1778042434,0
45,677842,678277,6030040,5942788,1778042434,0
46,677842,678277,6030040,5942788,1778042434,0
47,677842,678277,6030088,5942836,1778042434,0
48,677842,678277,6030092,5942840,1778042434,0
50,677842,678277,6030120,5942868,1778042434,0
51,677842,678277,6030124,5942872,1778042434,0
52,677842,678277,6030128,5942876,1778042434,0
53,677842,678277,6030152,5942900,1778042434,0
54,677842,678277,6030216,5942964,1778042434,0
55,677842,678277,6030232,5942980,1778042434,0
56,677842,678277,6030252,5943000,1778042434,0
57,677842,678277,6030252,5943000,1778042434,0
58,677842,678277,6030252,5943000,1778042434,0
59,677842,678277,6030256,5943004,1778042434,0
61,677842,678277,6030260,5943008,1778042434,0
62,677842,678277,6030272,5943020,1778042434,0
63,677842,678277,6030296,5943044,1778042434,0
64,677842,678277,6030296,5943044,1778042434,0
65,677842,678277,6030304,5943052,1778042434,0
66,677842,678277,6030308,5943056,1778042434,0
67,677842,678277,6030308,5943056,1778042434,0
68,677842,678277,6030308,5943056,1778042434,0
69,677842,678277,6030312,5943060,1778042434,0
71,677842,678277,6030252,5943000,1778042434,0
72,677842,678277,6030260,5943008,1778042434,0
73,677842,678277,6030328,5943076,1778042434,0
74,677842,678277,6030332,5943080,1778042434,0
75,677842,678277,6030272,5943020,1778042434,0
76,677842,678277,6030204,5942952,1778042434,0
77,677842,678277,6030212,5942960,1778042434,0
78,677842,678277,6100564,6017444,1778042434,0
79,677842,678277,6257584,6170296,1778042434,0
81,677842,678277,7419992,7332812,1778042434,0
82,677842,678277,7420864,7333612,1778042483,0
83,677842,678277,7450768,7363516,1778042483,0
84,677842,678277,7451480,7364240,1778042483,0
85,677842,678277,7452272,7365024,1778042483,0
86,677842,678277,7454060,7366808,1778042483,0
87,677842,678277,7514816,7427604,1778042488,0
88,677842,678277,8401504,8322708,1778042489,0
89,677842,678277,8891544,8812488,1778042489,0
91,677842,678277,9143504,9056252,1778042491,0
92,677842,678277,9145136,9057884,1778042491,0
93,677842,678277,9136280,9049028,1778042491,0
94,677842,678277,9139012,9051796,1778042491,0
95,677842,678277,9139724,9052492,1778042491,0
96,677842,678277,9140092,9052840,1778042491,0
97,677842,678277,9171308,9084072,1778042498,0
98,677842,678277,9171640,9084392,1778042498,0
99,677842,678277,9183236,9096632,1778042500,1
