elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,684061,,2464,0,1778042515,0
1,684061,,72756,0,1778042515,0
2,684061,,73104,0,1778042515,0
4,684061,,73316,0,1778042515,0
5,684061,,73668,0,1778042515,0
6,684061,,73952,0,1778042515,0
7,684061,,74364,0,1778042515,0
8,684061,684486,253748,193952,1778042515,0
9,684061,684486,1175668,1122084,1778042630,0
10,684061,684486,2188376,2102520,1778042631,0
11,684061,684486,2201344,2115168,1778042632,0
12,684061,684486,2238028,2151924,1778042633,0
13,684061,684486,2324880,2239036,1778042633,0
15,684061,684486,2382924,2296976,1778042636,0
16,684061,684486,2434008,2350320,1778042637,0
17,684061,684486,2758456,2673464,1778042638,0
18,684061,684486,3750140,3688172,1778042639,0
19,684061,684486,3862292,3775912,1778042640,0
20,684061,684486,3869008,3782696,1778042641,0
21,684061,684486,3876160,3789792,1778042641,0
22,684061,684486,3878300,3791920,1778042641,0
24,684061,684486,4017824,3942176,1778042645,0
25,684061,684486,4076392,3990220,1778042646,0
26,684061,684486,4128676,4042316,1778042647,0
27,684061,684486,4441808,4355428,1778042647,0
28,684061,684486,4449036,4362660,1778042647,0
29,684061,684486,4449304,4362924,1778042647,0
30,684061,684486,4663252,4578992,1778042651,0
31,684061,684486,5381864,5336704,1778042652,0
33,684061,684486,5701204,5614804,1778042654,0
34,684061,684486,5703628,5617200,1778042655,0
35,684061,684486,5725500,5639416,1778042655,0
36,684061,684486,5726028,5639600,1778042655,0
37,684061,684486,5726088,5639652,1778042655,0
38,684061,684486,5726244,5639836,1778042655,0
39,684061,684486,5726296,5639888,1778042655,0
40,684061,684486,5726452,5640044,1778042655,0
42,684061,684486,5726412,5640004,1778042655,0
43,684061,684486,5726492,5640084,1778042655,0
44,684061,684486,5726496,5640088,1778042655,0
45,684061,684486,5726612,5640204,1778042655,0
46,684061,684486,5726652,5640244,1778042655,0
47,684061,684486,5726656,5640248,1778042655,0
48,684061,684486,5726656,5640248,1778042655,0
49,684061,684486,5726668,5640260,1778042655,0
50,684061,684486,5726668,5640260,1778042655,0
51,684061,684486,5726708,5640300,1778042655,0
53,684061,684486,5726708,5640300,1778042655,0
54,684061,684486,5726708,5640300,1778042655,0
55,684061,684486,5726708,5640300,1778042655,0
56,684061,684486,5726724,5640316,1778042655,0
57,684061,684486,5726724,5640316,1778042655,0
58,684061,684486,5726740,5640332,1778042655,0
59,684061,684486,5726740,5640332,1778042655,0
60,684061,684486,5726744,5640336,1778042655,0
61,684061,684486,5726744,5640336,1778042655,0
62,684061,684486,5726744,5640336,1778042655,0
64,684061,684486,5726744,5640336,1778042655,0
65,684061,684486,5726768,5640360,1778042655,0
66,684061,684486,5726768,5640360,1778042655,0
67,684061,684486,5726768,5640360,1778042655,0
68,684061,684486,5726768,5640360,1778042655,0
69,684061,684486,5726768,5640360,1778042655,0
70,684061,684486,5726768,5640360,1778042655,0
71,684061,684486,5726780,5640372,1778042655,0
72,684061,684486,5726720,5640312,1778042655,0
73,684061,684486,5726720,5640312,1778042655,0
75,684061,684486,5726720,5640312,1778042655,0
76,684061,684486,5726720,5640312,1778042655,0
77,684061,684486,5726724,5640316,1778042655,0
78,684061,684486,5726520,5640112,1778042655,0
79,684061,684486,5726520,5640112,1778042655,0
80,684061,684486,5726520,5640112,1778042655,0
81,684061,684486,5726520,5640112,1778042655,0
82,684061,684486,5726520,5640112,1778042655,0
83,684061,684486,5726528,5640120,1778042655,0
85,684061,684486,5726528,5640120,1778042655,0
86,684061,684486,5741392,5658180,1778042655,0
87,684061,684486,5928320,5843972,1778042655,0
88,684061,684486,6248768,6191032,1778042655,0
89,684061,684486,7516820,7430440,1778042709,0
90,684061,684486,7773212,7687020,1778042711,0
91,684061,684486,7774352,7687960,1778042711,0
92,684061,684486,7778080,7691676,1778042711,0
93,684061,684486,7779492,7693092,1778042711,0
95,684061,684486,7779748,7693340,1778042711,0
96,684061,684486,8721596,8639284,1778042717,0
97,684061,684486,9212596,9134388,1778042717,0
98,684061,684486,9499688,9413668,1778042719,0
99,684061,684486,9509824,9423420,1778042719,0
100,684061,684486,9505400,9418996,1778042719,0
101,684061,684486,9505908,9419504,1778042719,0
102,684061,684486,10289280,10202876,1778042719,0
103,684061,684486,10289516,10203108,1778042719,0
105,684061,684486,10289544,10203172,1778042719,0
106,684061,684486,10300628,10214316,1778042726,0
107,684061,684486,10317336,10230928,1778042727,0
108,684061,684486,10319920,10234216,1778042727,1
