elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,602231,,2104,0,1778036973,0
1,602231,,72916,0,1778036973,0
3,602231,,73276,0,1778036973,0
4,602231,,73524,0,1778036973,0
5,602231,,73944,0,1778036973,0
6,602231,,74228,0,1778036973,0
7,602231,,78836,0,1778036973,0
8,602231,,159648,0,1778036973,0
9,602231,602738,643332,552472,1778036973,0
10,602231,602738,1766868,1685560,1778037282,0
11,602231,602738,2334924,2236892,1778037283,0
12,602231,602738,2442776,2344624,1778037283,0
14,602231,602738,2447728,2349440,1778037283,0
15,602231,602738,2449124,2352200,1778037283,0
16,602231,602738,2484352,2386032,1778037288,0
17,602231,602738,2504828,2406560,1778037289,0
18,602231,602738,2644484,2546584,1778037290,0
19,602231,602738,2668872,2570896,1778037291,0
20,602231,602738,2697628,2599872,1778037292,0
21,602231,602738,2737156,2639276,1778037293,0
23,602231,602738,2835272,2738184,1778037295,0
24,602231,602738,4758372,4696000,1778037296,0
25,602231,602738,5767416,5669884,1778037297,0
26,602231,602738,5779360,5681020,1778037297,0
27,602231,602738,5790112,5692100,1778037299,0
28,602231,602738,5803312,5705076,1778037300,0
29,602231,602738,5825824,5727888,1778037301,0
30,602231,602738,5891624,5793476,1778037303,0
32,602231,602738,5920912,5824796,1778037304,0
33,602231,602738,5958708,5860368,1778037305,0
34,602231,602738,5990176,5891836,1778037305,0
35,602231,602738,6274424,6181828,1778037307,0
36,602231,602738,6764652,6672656,1778037308,0
37,602231,602738,6990848,6892768,1778037309,0
39,602231,602738,7218224,7124052,1778037311,0
40,602231,602738,7280672,7182404,1778037311,0
41,602231,602738,7293784,7195552,1778037312,0
42,602231,602738,7315892,7217648,1778037314,0
43,602231,602738,7328112,7229844,1778037314,0
44,602231,602738,7339752,7241484,1778037316,0
45,602231,602738,7962968,7864700,1778037316,0
46,602231,602738,7977392,7879300,1778037318,0
47,602231,602738,8997992,8901512,1778037319,0
49,602231,602738,9150600,9065120,1778037320,0
50,602231,602738,9619032,9530252,1778037320,0
51,602231,602738,9876488,9778536,1778037323,0
52,602231,602738,9905924,9807656,1778037324,0
53,602231,602738,9954820,9861276,1778037325,1
