elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,254546,,1848,0,1778026141,0
1,254546,,72632,0,1778026141,0
2,254546,,72980,0,1778026141,0
3,254546,,73400,0,1778026141,0
4,254546,,73796,0,1778026141,0
5,254546,,74104,0,1778026141,0
6,254546,,74668,0,1778026141,0
7,254546,,146848,0,1778026141,0
8,254546,255137,738560,638992,1778026257,0
9,254546,255137,2146064,2046728,1778026258,0
11,254546,255137,2383416,2283992,1778026259,0
12,254546,255137,3254944,3229036,1778026259,0
13,254546,255137,4062988,3963352,1778026259,0
14,254546,255137,4094776,3995244,1778026263,0
15,254546,255137,4112424,4012840,1778026264,0
16,254546,255137,4170140,4071872,1778026265,0
17,254546,255137,3286392,3187028,1778026266,0
18,254546,255137,3382652,3283064,1778026267,0
19,254546,255137,3426676,3328544,1778026268,0
20,254546,255137,3572040,3476088,1778026270,0
22,254546,255137,5219164,5122060,1778026271,0
23,254546,255137,6552600,6452964,1778026271,0
24,254546,255137,7001828,6906752,1778026273,0
25,254546,255137,7492312,7392936,1778026273,0
26,254546,255137,7521808,7422532,1778026275,0
27,254546,255137,7566608,7471236,1778026276,0
28,254546,255137,7604348,7504716,1778026277,0
29,254546,255137,7830016,7745972,1778026278,0
31,254546,255137,8008668,7911544,1778026280,0
32,254546,255137,8380936,8281316,1778026280,0
33,254546,255137,8543684,8444048,1778026281,0
34,254546,255137,8560804,8461168,1778026283,0
35,254546,255137,8580252,8480744,1778026284,0
36,254546,255137,8599344,8499708,1778026285,0
37,254546,255137,8610952,8511396,1778026286,0
38,254546,255137,8612308,8512744,1778026286,0
39,254546,255137,8620552,8520988,1778026288,0
40,254546,255137,9269128,9169564,1778026289,0
41,254546,255137,9433800,9337328,1778026290,0
43,254546,255137,9914708,9820228,1778026290,0
44,254546,255137,10219948,10120384,1778026292,0
45,254546,255137,10234380,10134816,1778026293,0
46,254546,255137,10228040,10128476,1778026294,0
47,254546,255137,10228288,10128724,1778026294,0
48,254546,255137,10228572,10129008,1778026294,0
49,254546,255137,10228752,10129188,1778026294,0
50,254546,255137,10276216,10177724,1778026299,1
