elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,258588,,2476,0,1778026312,0
1,258588,,72588,0,1778026312,0
2,258588,,73180,0,1778026312,0
3,258588,,73396,0,1778026312,0
4,258588,,73948,0,1778026312,0
5,258588,,74136,0,1778026312,0
6,258588,,80440,0,1778026312,0
7,258588,259145,267940,202188,1778026312,0
9,258588,259145,1184172,1110296,1778026424,0
10,258588,259145,2251096,2150952,1778026425,0
11,258588,259145,2388120,2288144,1778026426,0
12,258588,259145,4588444,4516600,1778026426,0
13,258588,259145,5005668,4905144,1778026426,0
14,258588,259145,5030848,4930328,1778026430,0
15,258588,259145,5039836,4939440,1778026431,0
16,258588,259145,5087352,4987172,1778026432,0
17,258588,259145,3208928,3108668,1778026433,0
19,258588,259145,3340788,3241308,1778026435,0
20,258588,259145,3362288,3261980,1778026436,0
21,258588,259145,3499160,3400252,1778026437,0
22,258588,259145,4134104,4074888,1778026438,0
23,258588,259145,5223784,5123252,1778026439,0
24,258588,259145,5229552,5129120,1778026439,0
25,258588,259145,5246828,5146292,1778026441,0
26,258588,259145,5265056,5164660,1778026442,0
27,258588,259145,5294068,5193616,1778026443,0
29,258588,259145,5335820,5235568,1778026444,0
30,258588,259145,5378288,5277784,1778026445,0
31,258588,259145,5581640,5481228,1778026447,0
32,258588,259145,5675568,5584552,1778026448,0
33,258588,259145,6053524,5962752,1778026449,0
34,258588,259145,6404272,6303872,1778026450,0
36,258588,259145,6574828,6476388,1778026451,0
37,258588,259145,6644448,6543852,1778026452,0
38,258588,259145,6674664,6574240,1778026453,0
39,258588,259145,6688048,6587572,1778026455,0
40,258588,259145,6694844,6594364,1778026456,0
41,258588,259145,6694968,6594488,1778026456,0
42,258588,259145,6709364,6610560,1778026458,0
43,258588,259145,7691544,7591900,1778026459,0
44,258588,259145,7870892,7773004,1778026460,0
45,258588,259145,8347200,8249808,1778026460,0
46,258588,259145,8638448,8542372,1778026462,0
48,258588,259145,8683084,8582928,1778026464,1
