elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,263784,,2568,0,1778026478,0
1,263784,,72900,0,1778026478,0
2,263784,,73148,0,1778026478,0
3,263784,,73284,0,1778026478,0
4,263784,,73772,0,1778026478,0
6,263784,,73984,0,1778026478,0
7,263784,,97304,0,1778026478,0
8,263784,264413,338748,271796,1778026478,0
9,263784,264413,741144,641528,1778026589,0
10,263784,264413,2162628,2085676,1778026590,0
11,263784,264413,2411516,2312276,1778026590,0
12,263784,264413,2478920,2379188,1778026590,0
13,263784,264413,2481404,2381668,1778026590,0
14,263784,264413,2492884,2394012,1778026594,0
16,263784,264413,2520596,2420920,1778026596,0
17,263784,264413,2633732,2534088,1778026596,0
18,263784,264413,2665324,2565792,1778026598,0
19,263784,264413,2693612,2594196,1778026599,0
20,263784,264413,2729228,2630952,1778026600,0
21,263784,264413,2835640,2737340,1778026601,0
22,263784,264413,4906876,4839408,1778026602,0
23,263784,264413,5826228,5726492,1778026603,0
25,263784,264413,5831980,5732620,1778026603,0
26,263784,264413,5847180,5747444,1778026605,0
27,263784,264413,5867244,5767736,1778026607,0
28,263784,264413,5942496,5842788,1778026608,0
29,263784,264413,6002232,5908440,1778026609,0
30,263784,264413,6012200,5912468,1778026609,0
31,263784,264413,6268708,6170024,1778026611,0
32,263784,264413,6692004,6600744,1778026612,0
33,263784,264413,7027852,6928116,1778026613,0
35,263784,264413,7240300,7142612,1778026614,0
36,263784,264413,7295000,7195264,1778026615,0
37,263784,264413,7313140,7213492,1778026617,0
38,263784,264413,7363104,7263452,1778026618,0
39,263784,264413,7366852,7267172,1778026618,0
40,263784,264413,7379612,7279932,1778026619,0
41,263784,264413,7387460,7287780,1778026621,0
42,263784,264413,8311380,8211724,1778026622,0
43,263784,264413,8463220,8363540,1778026623,0
44,263784,264413,8883332,8786748,1778026623,0
45,263784,264413,9289380,9190312,1778026625,0
46,263784,264413,9317572,9217880,1778026626,0
48,263784,264413,9353196,9254084,1778026628,1
