elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,277180,,2624,0,1778026642,0
1,277180,,72688,0,1778026642,0
2,277180,,72956,0,1778026642,0
3,277180,,73272,0,1778026642,0
5,277180,,73400,0,1778026642,0
6,277180,,74060,0,1778026642,0
7,277180,,74112,0,1778026642,0
8,277180,,134696,0,1778026642,0
9,277180,277727,647824,548752,1778026642,0
10,277180,277727,2070932,1971368,1778026753,0
11,277180,277727,2343572,2243856,1778026754,0
12,277180,277727,2452640,2352800,1778026754,0
13,277180,277727,4090368,3990520,1778026754,0
14,277180,277727,4112432,4013316,1778026757,0
15,277180,277727,4133548,4033956,1778026758,0
17,277180,277727,4161100,4061436,1778026759,0
18,277180,277727,4227220,3995900,1778026761,0
19,277180,277727,3334444,3286204,1778026762,0
20,277180,277727,3419168,3319604,1778026763,0
21,277180,277727,3536716,3439468,1778026764,0
22,277180,277727,4673816,4611876,1778026765,0
23,277180,277727,5473280,5373616,1778026766,0
25,277180,277727,5506148,5406672,1778026766,0
26,277180,277727,5521016,5421176,1778026768,0
27,277180,277727,5550228,5450804,1778026770,0
28,277180,277727,5576400,5476564,1778026771,0
29,277180,277727,5630752,5530904,1778026772,0
30,277180,277727,5643700,5543856,1778026772,0
31,277180,277727,6045564,5967984,1778026774,0
32,277180,277727,6574320,6485196,1778026775,0
33,277180,277727,6741364,6643568,1778026776,0
34,277180,277727,6893632,6793792,1778026777,0
36,277180,277727,6914512,6814664,1778026778,0
37,277180,277727,6920896,6821108,1778026780,0
38,277180,277727,6925856,6826064,1778026781,0
39,277180,277727,6925844,6826052,1778026781,0
40,277180,277727,6967444,6867660,1778026783,0
41,277180,277727,8000596,7901724,1778026784,0
42,277180,277727,8276992,8180312,1778026785,0
43,277180,277727,8750168,8649620,1778026785,0
44,277180,277727,8855040,8755256,1778026787,0
45,277180,277727,8903036,8803380,1778026788,1
