elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,281146,,2512,0,1778026802,0
1,281146,,72776,0,1778026802,0
2,281146,,73084,0,1778026802,0
3,281146,,73308,0,1778026802,0
4,281146,,73832,0,1778026802,0
5,281146,,73960,0,1778026802,0
6,281146,,73960,0,1778026802,0
7,281146,,74632,0,1778026802,0
8,281146,281733,192888,108584,1778026802,0
10,281146,281733,988352,917592,1778026914,0
11,281146,281733,2076556,1977108,1778026916,0
12,281146,281733,2384820,2285596,1778026916,0
13,281146,281733,2434820,2335324,1778026916,0
14,281146,281733,2438812,2339288,1778026916,0
15,281146,281733,2481688,2382224,1778026920,0
16,281146,281733,2519064,2419568,1778026921,0
17,281146,281733,2630348,2533228,1778026922,0
18,281146,281733,2686084,2586728,1778026923,0
19,281146,281733,2719012,2619668,1778026924,0
21,281146,281733,2759168,2659684,1778026926,0
22,281146,281733,2886560,2789272,1778026927,0
23,281146,281733,5793408,5749996,1778026928,0
24,281146,281733,5897884,5798884,1778026929,0
25,281146,281733,5905796,5806388,1778026930,0
26,281146,281733,5919756,5820284,1778026931,0
27,281146,281733,5946848,5847632,1778026932,0
28,281146,281733,5972168,5872744,1778026933,0
29,281146,281733,6060412,5960888,1778026934,0
31,281146,281733,6065088,5965568,1778026934,0
32,281146,281733,6383112,6294504,1778026937,0
33,281146,281733,6920164,6823916,1778026938,0
34,281146,281733,7113148,7015716,1778026939,0
35,281146,281733,7289452,7192692,1778026940,0
36,281146,281733,7297568,7198044,1778026941,0
37,281146,281733,7321400,7221892,1778026942,0
38,281146,281733,7323708,7224256,1778026943,0
40,281146,281733,7334484,7235032,1778026944,0
41,281146,281733,7334836,7235384,1778026944,0
42,281146,281733,7348452,7249016,1778026947,0
43,281146,281733,8368128,8269040,1778026948,0
44,281146,281733,8535804,8439440,1778026949,0
45,281146,281733,9008760,8912744,1778026949,0
46,281146,281733,9268644,9172044,1778026951,0
47,281146,281733,9331880,9233012,1778026952,1
