elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,285126,,2172,0,1778026966,0
1,285126,,72812,0,1778026966,0
2,285126,,73304,0,1778026966,0
3,285126,,73540,0,1778026966,0
4,285126,,74136,0,1778026966,0
5,285126,,74280,0,1778026966,0
6,285126,,79516,0,1778026966,0
7,285126,285684,237704,177160,1778026966,0
8,285126,285684,1108604,1029516,1778027078,0
10,285126,285684,2240252,2140584,1778027079,0
11,285126,285684,2389880,2290400,1778027080,0
12,285126,285684,3881260,3781448,1778027080,0
13,285126,285684,3883256,3783408,1778027080,0
14,285126,285684,3914304,3814460,1778027084,0
15,285126,285684,3925292,3825452,1778027085,0
16,285126,285684,3974112,3874656,1778027086,0
17,285126,285684,3355108,3255508,1778027087,0
18,285126,285684,3387448,3287772,1778027088,0
20,285126,285684,3555612,3456052,1778027090,0
21,285126,285684,3650788,3554104,1778027091,0
22,285126,285684,4432724,4362072,1778027092,0
23,285126,285684,5526480,5426704,1778027093,0
24,285126,285684,5557648,5457800,1778027093,0
25,285126,285684,5570552,5470924,1778027095,0
26,285126,285684,5584416,5484764,1778027096,0
27,285126,285684,5612092,5512636,1778027097,0
29,285126,285684,5656812,5557024,1778027099,0
30,285126,285684,5696092,5596244,1778027099,0
31,285126,285684,5704384,5609164,1778027099,0
32,285126,285684,6088548,6027792,1778027102,0
33,285126,285684,6824872,6731460,1778027103,0
34,285126,285684,6992452,6894652,1778027104,0
35,285126,285684,7124488,7024640,1778027105,0
36,285126,285684,7127164,7027352,1778027106,0
38,285126,285684,7144056,7044248,1778027107,0
39,285126,285684,7147728,7047920,1778027109,0
40,285126,285684,7153720,7053912,1778027109,0
41,285126,285684,7153740,7053932,1778027109,0
42,285126,285684,7169500,7069700,1778027112,0
43,285126,285684,8200704,8100968,1778027113,0
44,285126,285684,8430104,8333388,1778027114,0
45,285126,285684,8903120,8798984,1778027114,0
46,285126,285684,9097164,8998876,1778027116,0
47,285126,285684,9120552,9021068,1778027117,1
