elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,292655,,2148,0,1778027264,0
1,292655,,72904,0,1778027264,0
3,292655,,73212,0,1778027264,0
4,292655,,73440,0,1778027264,0
5,292655,,74044,0,1778027264,0
6,292655,,74184,0,1778027264,0
7,292655,,98292,0,1778027264,0
8,292655,295125,480228,383076,1778027264,0
9,292655,295125,919868,849004,1778027316,0
10,292655,295125,1890024,1800804,1778027317,0
12,292655,295125,2315996,2217784,1778027318,0
13,292655,295125,2361272,2261904,1778027318,0
14,292655,295125,2400160,2300496,1778027318,0
15,292655,295125,2438560,2338856,1778027322,0
16,292655,295125,2488148,2388608,1778027323,0
17,292655,295125,2617776,2518168,1778027324,0
18,292655,295125,2657160,2557512,1778027325,0
19,292655,295125,2682872,2583460,1778027326,0
21,292655,295125,2726112,2626400,1778027327,0
22,292655,295125,2750356,2650644,1778027329,0
23,292655,295125,3030404,2974340,1778027330,0
24,292655,295125,3386196,3287852,1778027331,0
25,292655,295125,5867532,5767836,1778027332,0
26,292655,295125,5872580,5772868,1778027332,0
27,292655,295125,5888884,5789172,1778027334,0
28,292655,295125,5907956,5808364,1778027335,0
30,292655,295125,5940104,5840472,1778027337,0
31,292655,295125,6011668,5912448,1778027338,0
32,292655,295125,6035412,5935700,1778027338,0
33,292655,295125,6289008,6190920,1778027340,0
34,292655,295125,6670572,6575388,1778027341,0
35,292655,295125,7175652,7076152,1778027342,0
36,292655,295125,7380780,7285168,1778027343,0
37,292655,295125,7447832,7348208,1778027344,0
38,292655,295125,7497184,7397740,1778027345,0
40,292655,295125,7510320,7410768,1778027346,0
41,292655,295125,7513324,7413704,1778027347,0
42,292655,295125,7516840,7417216,1778027348,0
43,292655,295125,7524820,7425208,1778027349,0
44,292655,295125,8459716,8382952,1778027351,0
45,292655,295125,8600432,8500808,1778027352,0
46,292655,295125,9016084,8925432,1778027352,0
47,292655,295125,9429980,9330588,1778027354,0
48,292655,295125,9475720,9376448,1778027355,1
