elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,304871,,2436,0,1778027369,0
1,304871,,72828,0,1778027369,0
2,304871,,73240,0,1778027369,0
3,304871,,73492,0,1778027369,0
4,304871,,73852,0,1778027369,0
5,304871,,74184,0,1778027369,0
6,304871,,74644,0,1778027369,0
7,304871,,137152,0,1778027369,0
9,304871,305405,657732,563524,1778027369,0
10,304871,305405,1803536,1719880,1778027484,0
11,304871,305405,2328908,2231748,1778027484,0
12,304871,305405,2414584,2316660,1778027484,0
13,304871,305405,2427676,2329412,1778027484,0
14,304871,305405,2429688,2332920,1778027484,0
15,304871,305405,2486500,2388508,1778027489,0
16,304871,305405,2501732,2403664,1778027490,0
18,304871,305405,2642120,2544260,1778027492,0
19,304871,305405,2666620,2568592,1778027493,0
20,304871,305405,2699340,2601384,1778027494,0
21,304871,305405,2738092,2640448,1778027495,0
22,304871,305405,2834304,2736736,1778027496,0
23,304871,305405,5029228,4970912,1778027497,0
24,304871,305405,5548120,5450016,1778027498,0
25,304871,305405,5950340,5852132,1778027499,0
26,304871,305405,5961552,5863448,1778027500,0
28,304871,305405,5972388,5874240,1778027501,0
29,304871,305405,5999608,5901756,1778027503,0
30,304871,305405,6066556,5968296,1778027504,0
31,304871,305405,6107620,6009544,1778027505,0
32,304871,305405,6122912,6024644,1778027505,0
33,304871,305405,6368776,6271120,1778027507,0
34,304871,305405,6809828,6718000,1778027508,0
35,304871,305405,7139956,7042016,1778027509,0
37,304871,305405,7326084,7229848,1778027510,0
38,304871,305405,7402224,7303996,1778027512,0
39,304871,305405,7419088,7320912,1778027512,0
40,304871,305405,7451140,7352936,1778027514,0
41,304871,305405,7460544,7362316,1778027515,0
42,304871,305405,7464564,7366336,1778027516,0
43,304871,305405,7464660,7366432,1778027516,0
44,304871,305405,7489428,7391396,1778027518,0
45,304871,305405,8507012,8408884,1778027519,0
47,304871,305405,8651652,8562616,1778027520,0
48,304871,305405,9107860,9019272,1778027520,0
49,304871,305405,9377868,9279640,1778027523,0
50,304871,305405,9408256,9310056,1778027524,1
