elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,324925,,1816,0,1778028204,0
1,324925,,72864,0,1778028204,0
2,324925,,73136,0,1778028204,0
4,324925,,73356,0,1778028204,0
5,324925,,73952,0,1778028204,0
6,324925,,74112,0,1778028204,0
7,324925,,99780,0,1778028204,0
8,324925,325476,486048,387652,1778028204,0
9,324925,325476,723316,622692,1778028318,0
10,324925,325476,2142504,2042068,1778028319,0
11,324925,325476,2387152,2286724,1778028319,0
12,324925,325476,3886444,3851320,1778028319,0
13,324925,325476,3962220,3861596,1778028319,0
14,324925,325476,3990388,3889748,1778028324,0
16,324925,325476,4007020,3906440,1778028325,0
17,324925,325476,4041152,3941280,1778028325,0
18,324925,325476,3354236,3170184,1778028327,0
19,324925,325476,3331996,3231780,1778028328,0
20,324925,325476,3368432,3267756,1778028329,0
21,324925,325476,3477312,3379924,1778028330,0
22,324925,325476,4333552,4234956,1778028331,0
24,324925,325476,4449076,4349640,1778028332,0
25,324925,325476,4466800,4366124,1778028333,0
26,324925,325476,4476612,4375944,1778028334,0
27,324925,325476,4488716,4388300,1778028335,0
28,324925,325476,4514952,4414592,1778028337,0
29,324925,325476,4537292,4436616,1778028338,0
30,324925,325476,4591864,4491188,1778028339,0
31,324925,325476,4599756,4499080,1778028339,0
32,324925,325476,4867048,4780700,1778028341,0
33,324925,325476,5916232,5822080,1778028342,0
35,324925,325476,6149652,6049312,1778028344,0
36,324925,325476,6371728,6271060,1778028344,0
37,324925,325476,6382200,6281628,1778028345,0
38,324925,325476,6439164,6338644,1778028347,0
39,324925,325476,6441428,6340876,1778028348,0
40,324925,325476,6454044,6353472,1778028349,0
41,324925,325476,6453984,6353412,1778028349,0
42,324925,325476,6456428,6355856,1778028351,0
43,324925,325476,7430180,7329608,1778028352,0
44,324925,325476,7535424,7443324,1778028353,0
46,324925,325476,8018292,7923000,1778028353,0
47,324925,325476,8373232,8273196,1778028356,0
48,324925,325476,8415636,8318012,1778028357,1
