elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,328983,,2536,0,1778028371,0
1,328983,,73120,0,1778028371,0
3,328983,,73300,0,1778028371,0
4,328983,,73424,0,1778028371,0
5,328983,,73916,0,1778028371,0
6,328983,,74144,0,1778028371,0
7,328983,,78800,0,1778028371,0
8,328983,,151368,0,1778028371,0
9,328983,329486,741620,644276,1778028371,0
10,328983,329486,2089612,1991468,1778028486,0
11,328983,329486,2391236,2293252,1778028487,0
12,328983,329486,2617692,2589332,1778028487,0
14,328983,329486,3740796,3642640,1778028487,0
15,328983,329486,3741784,3643640,1778028487,0
16,328983,329486,3770808,3672660,1778028492,0
17,328983,329486,3779364,3681204,1778028493,0
18,328983,329486,3829576,3731608,1778028494,0
19,328983,329486,3368024,3270180,1778028495,0
20,328983,329486,3424164,3326448,1778028496,0
21,328983,329486,3457240,3359304,1778028497,0
22,328983,329486,3548328,3453648,1778028499,0
24,328983,329486,3685872,3589396,1778028500,0
25,328983,329486,5054008,4992060,1778028501,0
26,328983,329486,5299356,5201376,1778028502,0
27,328983,329486,5306112,5208024,1778028503,0
28,328983,329486,5319356,5221192,1778028504,0
29,328983,329486,5344132,5246212,1778028505,0
30,328983,329486,5371964,5273800,1778028506,0
32,328983,329486,5401368,5303312,1778028508,0
33,328983,329486,5435280,5337116,1778028508,0
34,328983,329486,5464148,5365984,1778028508,0
35,328983,329486,5773020,5678772,1778028511,0
36,328983,329486,6246900,6155184,1778028512,0
37,328983,329486,6498776,6400932,1778028513,0
38,328983,329486,6685060,6589064,1778028514,0
39,328983,329486,6887496,6789368,1778028515,0
40,328983,329486,6894292,6796352,1778028516,0
42,328983,329486,6915000,6816892,1778028518,0
43,328983,329486,6918204,6820096,1778028518,0
44,328983,329486,6933796,6835688,1778028519,0
45,328983,329486,6934800,6836732,1778028519,0
46,328983,329486,6959664,6861580,1778028522,0
47,328983,329486,7991008,7892952,1778028523,0
48,328983,329486,8223408,8129392,1778028524,0
49,328983,329486,8678608,8576852,1778028524,0
50,328983,329486,8893432,8795324,1778028526,0
51,328983,329486,8907856,8810388,1778028527,1
