elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,333131,,2184,0,1778028542,0
1,333131,,72804,0,1778028542,0
2,333131,,73040,0,1778028542,0
3,333131,,73340,0,1778028542,0
4,333131,,73788,0,1778028542,0
5,333131,,74040,0,1778028542,0
7,333131,,74400,0,1778028542,0
8,333131,,140448,0,1778028542,0
9,333131,333677,737296,636544,1778028656,0
10,333131,333677,2076112,1975640,1778028657,0
11,333131,333677,2404800,2304388,1778028657,0
12,333131,333677,2469932,2369124,1778028657,0
13,333131,333677,2473452,2372620,1778028657,0
14,333131,333677,2494988,2394352,1778028661,0
15,333131,333677,2517076,2416252,1778028662,0
17,333131,333677,2592088,2491368,1778028663,0
18,333131,333677,2677252,2576628,1778028665,0
19,333131,333677,2704684,2604320,1778028666,0
20,333131,333677,2738048,2637548,1778028667,0
21,333131,333677,2842128,2742460,1778028668,0
22,333131,333677,5200972,5133032,1778028669,0
23,333131,333677,5909872,5809084,1778028670,0
24,333131,333677,5915904,5815416,1778028670,0
26,333131,333677,5931796,5830964,1778028672,0
27,333131,333677,5948704,5848144,1778028674,0
28,333131,333677,5977544,5876816,1778028675,0
29,333131,333677,6053592,5953056,1778028676,0
30,333131,333677,6081720,5981004,1778028677,0
31,333131,333677,6207048,6107648,1778028678,0
32,333131,333677,6643216,6567204,1778028679,0
33,333131,333677,7089776,6989272,1778028680,0
34,333131,333677,7235256,7136476,1778028681,0
36,333131,333677,7356484,7255672,1778028682,0
37,333131,333677,7363316,7262504,1778028684,0
38,333131,333677,7369700,7268916,1778028685,0
39,333131,333677,7370560,7269856,1778028686,0
40,333131,333677,7374504,7273712,1778028686,0
41,333131,333677,7376068,7276368,1778028688,0
42,333131,333677,7400996,7300272,1778028689,0
43,333131,333677,8447844,8350868,1778028690,0
44,333131,333677,8739672,8643972,1778028691,0
45,333131,333677,9202428,9101400,1778028691,0
47,333131,333677,9318848,9218080,1778028693,0
48,333131,333677,9368540,9267896,1778028695,1
