elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,337021,,1712,0,1778028708,0
1,337021,,72860,0,1778028708,0
2,337021,,73196,0,1778028708,0
3,337021,,73420,0,1778028708,0
4,337021,,73956,0,1778028708,0
6,337021,,74136,0,1778028708,0
7,337021,,99544,0,1778028708,0
8,337021,337514,538576,466828,1778028708,0
9,337021,337514,1014400,941488,1778028822,0
10,337021,337514,2159580,2060136,1778028823,0
11,337021,337514,2391872,2293104,1778028823,0
12,337021,337514,2468344,2368772,1778028823,0
13,337021,337514,2473432,2373812,1778028823,0
15,337021,337514,2489996,2394220,1778028828,0
16,337021,337514,2512244,2412628,1778028829,0
17,337021,337514,2620380,2520908,1778028829,0
18,337021,337514,2668912,2569596,1778028831,0
19,337021,337514,2698160,2598884,1778028832,0
20,337021,337514,2740840,2641568,1778028833,0
21,337021,337514,2838460,2740180,1778028834,0
22,337021,337514,5380040,5342976,1778028835,0
24,337021,337514,5895712,5796092,1778028837,0
25,337021,337514,5901296,5801996,1778028837,0
26,337021,337514,5918648,5819028,1778028839,0
27,337021,337514,5936676,5837152,1778028840,0
28,337021,337514,5964884,5865436,1778028841,0
29,337021,337514,6045156,5945872,1778028842,0
30,337021,337514,6073952,5974540,1778028843,0
31,337021,337514,6122116,6022568,1778028844,0
32,337021,337514,6549612,6494924,1778028845,0
34,337021,337514,7084100,6984692,1778028847,0
35,337021,337514,7230060,7132488,1778028848,0
36,337021,337514,7353004,7253384,1778028849,0
37,337021,337514,7353776,7254212,1778028849,0
38,337021,337514,7381208,7281644,1778028851,0
39,337021,337514,7390364,7290800,1778028852,0
40,337021,337514,7391280,7291716,1778028853,0
41,337021,337514,7391436,7291888,1778028854,0
42,337021,337514,7417524,7317960,1778028855,0
43,337021,337514,8444316,8344768,1778028856,0
45,337021,337514,8697456,8606572,1778028857,0
46,337021,337514,9164048,9071636,1778028857,0
47,337021,337514,9336456,9236912,1778028859,0
48,337021,337514,9390612,9294372,1778028861,1
