elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,346984,,2532,0,1778029051,0
1,346984,,72732,0,1778029051,0
2,346984,,72980,0,1778029051,0
3,346984,,73388,0,1778029051,0
4,346984,,73776,0,1778029051,0
5,346984,,73932,0,1778029051,0
6,346984,,74136,0,1778029051,0
7,346984,,96708,0,1778029051,0
8,346984,347529,629752,540500,1778029051,0
10,346984,347529,1185036,1115584,1778029165,0
11,346984,347529,2184136,2086132,1778029166,0
12,346984,347529,2382312,2284416,1778029166,0
13,346984,347529,2446028,2347928,1778029166,0
14,346984,347529,2451100,2352972,1778029166,0
16,346984,347529,2454436,2357208,1778029166,0
17,346984,347529,2475568,2377456,1778029172,0
18,346984,347529,2503804,2405712,1778029173,0
19,346984,347529,2581972,2484228,1778029174,0
20,346984,347529,2664168,2566404,1778029175,0
21,346984,347529,2684924,2587152,1778029176,0
22,346984,347529,2726316,2628188,1778029177,0
24,346984,347529,2748832,2651264,1778029178,0
25,346984,347529,2848784,2751328,1778029180,0
26,346984,347529,4831064,4781840,1778029181,0
27,346984,347529,5605320,5587232,1778029182,0
28,346984,347529,5815348,5717220,1778029182,0
29,346984,347529,5828132,5730032,1778029184,0
30,346984,347529,5843764,5745984,1778029185,0
31,346984,347529,5875812,5778024,1778029186,0
32,346984,347529,5909768,5812284,1778029187,0
34,346984,347529,5939376,5841352,1778029189,0
35,346984,347529,7446272,7351256,1778029189,0
36,346984,347529,7824064,7749412,1778029191,0
37,346984,347529,8372156,8278368,1778029192,0
38,346984,347529,8525620,8429596,1778029193,0
39,346984,347529,8740508,8642572,1778029194,0
40,346984,347529,8750360,8652288,1778029195,0
42,346984,347529,8805568,8707496,1778029196,0
43,346984,347529,8811068,8713200,1778029198,0
44,346984,347529,8837812,8739740,1778029199,0
45,346984,347529,8838256,8740184,1778029199,0
46,346984,347529,8847748,8752304,1778029201,0
47,346984,347529,9813032,9716376,1778029202,0
48,346984,347529,10021292,9928312,1778029203,0
49,346984,347529,10498732,10401704,1778029203,0
50,346984,347529,10780172,10682156,1778029205,0
51,346984,347529,10833708,10737208,1778029206,1
