elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,351175,,2564,0,1778029220,0
1,351175,,72764,0,1778029220,0
2,351175,,73152,0,1778029220,0
3,351175,,73400,0,1778029220,0
5,351175,,73788,0,1778029220,0
6,351175,,74080,0,1778029220,0
7,351175,,74672,0,1778029220,0
8,351175,,153304,0,1778029220,0
9,351175,351755,738284,638588,1778029334,0
10,351175,351755,2074176,1974428,1778029335,0
11,351175,351755,2381372,2281692,1778029335,0
12,351175,351755,3270396,3242296,1778029335,0
13,351175,351755,3802980,3703168,1778029335,0
14,351175,351755,3818136,3718356,1778029339,0
16,351175,351755,3859272,3759492,1778029341,0
17,351175,351755,3893360,3794332,1778029342,0
18,351175,351755,4001716,3902172,1778029343,0
19,351175,351755,3381524,3282416,1778029344,0
20,351175,351755,3533292,3433716,1778029345,0
21,351175,351755,3625024,3528776,1778029346,0
22,351175,351755,4548940,4451596,1778029347,0
23,351175,351755,4897100,4797356,1778029348,0
25,351175,351755,5315156,5215344,1778029349,0
26,351175,351755,5330572,5230828,1778029351,0
27,351175,351755,5343856,5244380,1778029352,0
28,351175,351755,5373916,5274420,1778029353,0
29,351175,351755,5421752,5326300,1778029354,0
30,351175,351755,5457932,5358348,1778029355,0
31,351175,351755,5475028,5388660,1778029356,0
32,351175,351755,5848404,5782784,1778029358,0
34,351175,351755,6427520,6330184,1778029359,0
35,351175,351755,6566316,6468552,1778029360,0
36,351175,351755,6699124,6599312,1778029361,0
37,351175,351755,6702584,6602944,1778029361,0
38,351175,351755,6743092,6643352,1778029363,0
39,351175,351755,6750900,6651144,1778029364,0
40,351175,351755,6759132,6659376,1778029365,0
41,351175,351755,6761512,6661800,1778029365,0
43,351175,351755,6792224,6692532,1778029368,0
44,351175,351755,7826332,7726632,1778029369,0
45,351175,351755,8045952,7948120,1778029369,0
46,351175,351755,8517048,8421048,1778029369,0
47,351175,351755,8709068,8609312,1778029372,0
48,351175,351755,8749648,8666840,1778029373,1
