elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,355040,,2544,0,1778029387,0
1,355040,,72504,0,1778029387,0
2,355040,,73024,0,1778029387,0
3,355040,,73292,0,1778029387,0
4,355040,,73328,0,1778029387,0
5,355040,,73768,0,1778029387,0
6,355040,,74012,0,1778029387,0
7,355040,,74672,0,1778029387,0
8,355040,355565,352780,298964,1778029387,0
9,355040,355565,1309448,1245392,1778029499,0
10,355040,355565,2232368,2136212,1778029500,0
12,355040,355565,2391072,2292336,1778029500,0
13,355040,355565,3842136,3743244,1778029500,0
14,355040,355565,3844140,3745248,1778029500,0
15,355040,355565,3864892,3766076,1778029505,0
16,355040,355565,3883824,3784940,1778029506,0
17,355040,355565,3921036,3822312,1778029507,0
18,355040,355565,3306180,3207560,1778029508,0
19,355040,355565,3369644,3271160,1778029509,0
20,355040,355565,3413060,3314804,1778029510,0
22,355040,355565,3539076,3441728,1778029512,0
23,355040,355565,4251400,4199404,1778029513,0
24,355040,355565,5294828,5195936,1778029514,0
25,355040,355565,5300536,5201644,1778029514,0
26,355040,355565,5315448,5216780,1778029516,0
27,355040,355565,5329440,5230860,1778029517,0
28,355040,355565,5359736,5261236,1778029518,0
29,355040,355565,5407128,5311756,1778029519,0
30,355040,355565,5440976,5342156,1778029520,0
32,355040,355565,5478492,5380216,1778029522,0
33,355040,355565,5806944,5714576,1778029523,0
34,355040,355565,6373012,6281180,1778029524,0
35,355040,355565,6544540,6449760,1778029525,0
36,355040,355565,6736324,6637908,1778029526,0
37,355040,355565,8024432,7925540,1778029527,0
38,355040,355565,8050576,7951732,1778029528,0
39,355040,355565,8736912,8638124,1778029529,0
40,355040,355565,8755780,8656948,1778029530,0
42,355040,355565,8755884,8657044,1778029530,0
43,355040,355565,8766172,8669988,1778029533,0
44,355040,355565,9731640,9633724,1778029533,0
45,355040,355565,9915564,9819828,1778029535,0
46,355040,355565,10387924,10292816,1778029535,0
47,355040,355565,10691924,10593112,1778029537,0
48,355040,355565,10736964,10638752,1778029538,1
