elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,379385,,2580,0,1778030056,0
1,379385,,72492,0,1778030056,0
2,379385,,72832,0,1778030056,0
3,379385,,73244,0,1778030056,0
4,379385,,73632,0,1778030056,0
5,379385,,73960,0,1778030056,0
7,379385,,74596,0,1778030056,0
8,379385,379889,175488,80564,1778030056,0
9,379385,379889,1003396,937836,1778030171,0
10,379385,379889,2222684,2124532,1778030172,0
11,379385,379889,2384868,2286764,1778030172,0
12,379385,379889,2445184,2346792,1778030172,0
13,379385,379889,2446864,2348440,1778030172,0
14,379385,379889,2470696,2372432,1778030176,0
15,379385,379889,2494096,2395676,1778030177,0
17,379385,379889,2634976,2539616,1778030179,0
18,379385,379889,2670660,2572592,1778030180,0
19,379385,379889,2702872,2604448,1778030181,0
20,379385,379889,2725588,2627360,1778030182,0
21,379385,379889,2830948,2736316,1778030183,0
22,379385,379889,4881176,4823620,1778030184,0
23,379385,379889,5909988,5811716,1778030185,0
24,379385,379889,5921012,5822588,1778030186,0
26,379385,379889,5933352,5835268,1778030188,0
27,379385,379889,5948856,5850760,1778030189,0
28,379385,379889,5976372,5878348,1778030190,0
29,379385,379889,6053264,5955112,1778030191,0
30,379385,379889,6093052,5994892,1778030192,0
31,379385,379889,6104184,6005764,1778030192,0
32,379385,379889,6415732,6321196,1778030194,0
33,379385,379889,6967856,6876060,1778030195,0
34,379385,379889,7169748,7071356,1778030196,0
36,379385,379889,7358324,7260076,1778030198,0
37,379385,379889,7360084,7261660,1778030199,0
38,379385,379889,7374788,7276404,1778030200,0
39,379385,379889,7378360,7279984,1778030201,0
40,379385,379889,7381732,7283348,1778030202,0
41,379385,379889,7381744,7283360,1778030202,0
42,379385,379889,7398868,7300484,1778030204,0
43,379385,379889,8418616,8320288,1778030205,0
44,379385,379889,8641472,8544132,1778030206,0
45,379385,379889,9117720,9015348,1778030206,0
47,379385,379889,9338268,9239884,1778030208,0
48,379385,379889,9383656,9285708,1778030210,1
