elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,387455,,2200,0,1778030395,0
1,387455,,72672,0,1778030395,0
2,387455,,72944,0,1778030395,0
3,387455,,73260,0,1778030395,0
4,387455,,73392,0,1778030395,0
5,387455,,73908,0,1778030395,0
6,387455,,74396,0,1778030395,0
7,387455,,134584,0,1778030395,0
8,387455,387987,525280,435640,1778030395,0
9,387455,387987,1526364,1461368,1778030511,0
11,387455,387987,2235792,2136240,1778030512,0
12,387455,387987,2392444,2293096,1778030513,0
13,387455,387987,2448796,2348976,1778030513,0
14,387455,387987,2450700,2350880,1778030513,0
15,387455,387987,2482640,2382844,1778030517,0
16,387455,387987,2499880,2400068,1778030518,0
17,387455,387987,2586672,2486940,1778030519,0
18,387455,387987,2680108,2580964,1778030520,0
20,387455,387987,2701940,2602412,1778030522,0
21,387455,387987,2740656,2640836,1778030522,0
22,387455,387987,2785036,2687272,1778030524,0
23,387455,387987,2929224,2832108,1778030525,0
24,387455,387987,5698136,5600208,1778030526,0
25,387455,387987,5746652,5647124,1778030527,0
26,387455,387987,5752644,5653192,1778030527,0
28,387455,387987,5767440,5667828,1778030529,0
29,387455,387987,5782156,5682596,1778030531,0
30,387455,387987,5807860,5708488,1778030532,0
31,387455,387987,5870564,5770744,1778030533,0
32,387455,387987,5923140,5823356,1778030534,0
33,387455,387987,5943252,5843432,1778030534,0
34,387455,387987,6187072,6092280,1778030536,0
35,387455,387987,6592540,6499032,1778030537,0
37,387455,387987,6947728,6848144,1778030538,0
38,387455,387987,7119048,7021380,1778030539,0
39,387455,387987,7211344,7111644,1778030541,0
40,387455,387987,7221324,7121652,1778030542,0
41,387455,387987,7236228,7136464,1778030543,0
42,387455,387987,7241068,7141304,1778030543,0
43,387455,387987,7254400,7154636,1778030545,0
44,387455,387987,7254632,7154888,1778030545,0
45,387455,387987,7261156,7161392,1778030548,0
47,387455,387987,8231584,8131820,1778030548,0
48,387455,387987,8327376,8227612,1778030549,0
49,387455,387987,8764276,8668312,1778030550,0
50,387455,387987,9153468,9053980,1778030552,0
51,387455,387987,9195560,9095856,1778030553,0
52,387455,387987,9245364,9150080,1778030554,1
