elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,392015,,2204,0,1778030569,0
1,392015,,72804,0,1778030569,0
2,392015,,73108,0,1778030569,0
3,392015,,73364,0,1778030569,0
4,392015,,73724,0,1778030569,0
5,392015,,73904,0,1778030569,0
6,392015,,74084,0,1778030569,0
7,392015,,74084,0,1778030569,0
8,392015,,96640,0,1778030569,0
10,392015,392579,637736,541060,1778030569,0
11,392015,392579,1723464,1643960,1778030685,0
12,392015,392579,2311724,2214008,1778030685,0
13,392015,392579,2387428,2289724,1778030685,0
14,392015,392579,4457764,4394724,1778030685,0
15,392015,392579,4994932,4897004,1778030685,0
16,392015,392579,5019684,4921800,1778030690,0
17,392015,392579,5054992,4957120,1778030691,0
18,392015,392579,5086124,4988224,1778030692,0
20,392015,392579,5118748,5021572,1778030693,0
21,392015,392579,3319028,3221612,1778030695,0
22,392015,392579,3446868,3348940,1778030696,0
23,392015,392579,3505908,3410388,1778030697,0
24,392015,392579,3642476,3605268,1778030698,0
25,392015,392579,4931092,4836424,1778030699,0
26,392015,392579,4982280,4884964,1778030700,0
28,392015,392579,4990220,4892292,1778030702,0
29,392015,392579,5002612,4904952,1778030702,0
30,392015,392579,5030756,4933136,1778030704,0
31,392015,392579,5059316,4961424,1778030705,0
32,392015,392579,5101732,5004400,1778030706,0
33,392015,392579,5126772,5028860,1778030706,0
34,392015,392579,5365736,5269932,1778030708,0
36,392015,392579,5753644,5658184,1778030710,0
37,392015,392579,6300392,6204824,1778030711,0
38,392015,392579,6467752,6373920,1778030712,0
39,392015,392579,6559768,6461896,1778030713,0
40,392015,392579,6560860,6463216,1778030714,0
41,392015,392579,6591748,6493952,1778030715,0
42,392015,392579,6592828,6494956,1778030716,0
43,392015,392579,6597932,6500060,1778030717,0
44,392015,392579,6598088,6500232,1778030717,0
46,392015,392579,6606532,6509300,1778030720,0
47,392015,392579,7588128,7490256,1778030720,0
48,392015,392579,8046564,7948692,1778030722,0
49,392015,392579,8494876,8396248,1778030722,0
50,392015,392579,8876396,8781324,1778030724,0
51,392015,392579,9192460,9103828,1778030725,1
