elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,400964,,2236,0,1778030918,0
1,400964,,72952,0,1778030918,0
2,400964,,73192,0,1778030918,0
3,400964,,73424,0,1778030918,0
4,400964,,73840,0,1778030918,0
5,400964,,74120,0,1778030918,0
7,400964,,78716,0,1778030918,0
8,400964,401461,190820,108232,1778030918,0
9,400964,401461,736416,661304,1778031032,0
10,400964,401461,2135792,2056304,1778031033,0
11,400964,401461,2393732,2296156,1778031033,0
12,400964,401461,2455472,2357520,1778031033,0
13,400964,401461,2469696,2371700,1778031033,0
15,400964,401461,2479016,2381020,1778031037,0
16,400964,401461,2493776,2396260,1778031039,0
17,400964,401461,2519848,2421896,1778031040,0
18,400964,401461,2664120,2566744,1778031041,0
19,400964,401461,2686780,2589256,1778031042,0
20,400964,401461,2718024,2620336,1778031043,0
21,400964,401461,2760972,2662992,1778031044,0
22,400964,401461,2877824,2781768,1778031045,0
24,400964,401461,4377568,4317272,1778031047,0
25,400964,401461,5578848,5628472,1778031048,0
26,400964,401461,5981312,5883316,1778031048,0
27,400964,401461,7034012,6940620,1778031050,0
28,400964,401461,7491016,7393304,1778031051,0
29,400964,401461,7518616,7421036,1778031052,0
30,400964,401461,7538636,7440640,1778031053,0
31,400964,401461,7598772,7500792,1778031054,0
33,400964,401461,7604948,7507656,1778031055,0
34,400964,401461,7877644,7781072,1778031057,0
35,400964,401461,8341508,8251924,1778031058,0
36,400964,401461,8625296,8527740,1778031059,0
37,400964,401461,8834504,8738580,1778031060,0
38,400964,401461,8879252,8781280,1778031061,0
39,400964,401461,8896420,8798536,1778031062,0
41,400964,401461,8921932,8824836,1778031063,0
42,400964,401461,8928748,8830784,1778031064,0
43,400964,401461,8938292,8840320,1778031065,0
44,400964,401461,8938452,8840480,1778031065,0
45,400964,401461,8963116,8866720,1778031068,0
46,400964,401461,9989400,9891724,1778031069,0
47,400964,401461,10138228,10043824,1778031070,0
48,400964,401461,10596832,10500940,1778031070,0
49,400964,401461,10894580,10797184,1778031072,0
51,400964,401461,10923736,10826620,1778031073,1
