elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,408629,,2564,0,1778031262,0
1,408629,,73836,0,1778031262,0
2,408629,,74108,0,1778031262,0
3,408629,,74356,0,1778031262,0
4,408629,,74920,0,1778031262,0
5,408629,,75148,0,1778031262,0
6,408629,,75764,0,1778031262,0
7,408629,409174,186032,88324,1778031262,0
8,408629,409174,669776,577732,1778031262,0
9,408629,409174,2074996,1975104,1778031375,0
11,408629,409174,2335680,2235112,1778031376,0
12,408629,409174,2522152,2421516,1778031376,0
13,408629,409174,2524980,2424248,1778031376,0
14,408629,409174,2531796,2431076,1778031380,0
15,408629,409174,2562804,2462352,1778031381,0
16,408629,409174,2600832,2500120,1778031382,0
17,408629,409174,2640812,2540384,1778031383,0
18,408629,409174,2665868,2565580,1778031384,0
20,408629,409174,2703788,2603528,1778031385,0
21,408629,409174,2743532,2642904,1778031386,0
22,408629,409174,2858412,2760676,1778031388,0
23,408629,409174,5477800,5406596,1778031389,0
24,408629,409174,5836284,5735552,1778031390,0
25,408629,409174,5841692,5740960,1778031390,0
26,408629,409174,5857076,5756476,1778031392,0
27,408629,409174,5873496,5773076,1778031393,0
29,408629,409174,5898860,5798532,1778031395,0
30,408629,409174,5960396,5859664,1778031396,0
31,408629,409174,6008076,5907436,1778031397,0
32,408629,409174,6024360,5923768,1778031397,0
33,408629,409174,6303916,6205868,1778031399,0
34,408629,409174,6750056,6657804,1778031400,0
35,408629,409174,7063740,6963348,1778031401,0
37,408629,409174,7269492,7172928,1778031402,0
38,408629,409174,7337220,7236560,1778031403,0
39,408629,409174,7350360,7260408,1778031404,0
40,408629,409174,7371808,7271152,1778031406,0
41,408629,409174,7394120,7293460,1778031406,0
42,408629,409174,7403244,7302584,1778031408,0
43,408629,409174,7403468,7302808,1778031408,0
44,408629,409174,7415156,7314564,1778031410,0
45,408629,409174,8383508,8283440,1778031411,0
47,408629,409174,8551088,8450144,1778031412,0
48,408629,409174,9004344,8906772,1778031412,0
49,408629,409174,9357504,9256844,1778031415,0
50,408629,409174,9400552,9300072,1778031416,1
