elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,412389,,2648,0,1778031431,0
1,412389,,72732,0,1778031431,0
2,412389,,72976,0,1778031431,0
3,412389,,73308,0,1778031431,0
4,412389,,73452,0,1778031431,0
5,412389,,73964,0,1778031431,0
6,412389,,74464,0,1778031431,0
7,412389,,132952,0,1778031431,0
8,412389,412940,596176,504456,1778031431,0
9,412389,412940,1488036,1422600,1778031545,0
10,412389,412940,2254192,2156508,1778031546,0
12,412389,412940,2400400,2302460,1778031547,0
13,412389,412940,2464420,2366228,1778031547,0
14,412389,412940,2466392,2368196,1778031547,0
15,412389,412940,2492524,2394852,1778031551,0
16,412389,412940,2513112,2414984,1778031552,0
17,412389,412940,2616332,2518220,1778031553,0
18,412389,412940,2673796,2575892,1778031554,0
19,412389,412940,2696228,2598556,1778031555,0
21,412389,412940,2736888,2638816,1778031556,0
22,412389,412940,2745464,2647424,1778031558,0
23,412389,412940,2854372,2758768,1778031559,0
24,412389,412940,4596668,4536116,1778031560,0
25,412389,412940,5665836,5567840,1778031561,0
26,412389,412940,5673948,5575736,1778031562,0
27,412389,412940,5683636,5585496,1778031563,0
29,412389,412940,5694548,5596824,1778031564,0
30,412389,412940,5721620,5623640,1778031566,0
31,412389,412940,5745876,5647964,1778031567,0
32,412389,412940,5831724,5733928,1778031568,0
33,412389,412940,5854088,5755880,1778031568,0
34,412389,412940,6055788,5978020,1778031570,0
35,412389,412940,6483032,6385192,1778031571,0
36,412389,412940,6852836,6755200,1778031572,0
38,412389,412940,7015808,6921788,1778031573,0
39,412389,412940,7116712,7018560,1778031575,0
40,412389,412940,7117444,7019320,1778031575,0
41,412389,412940,7131420,7033264,1778031577,0
42,412389,412940,7132340,7034188,1778031578,0
43,412389,412940,7137120,7038972,1778031579,0
44,412389,412940,7137188,7039032,1778031579,0
45,412389,412940,7146840,7048832,1778031581,0
46,412389,412940,8114316,8016160,1778031582,0
48,412389,412940,8216576,8118420,1778031583,0
49,412389,412940,8643672,8554956,1778031584,0
50,412389,412940,9044344,8946480,1778031586,0
51,412389,412940,9088536,8990384,1778031587,0
52,412389,412940,9107252,9009388,1778031588,1
