elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,416509,,2504,0,1778031604,0
1,416509,,73004,0,1778031604,0
2,416509,,73224,0,1778031604,0
3,416509,,73440,0,1778031604,0
4,416509,,73944,0,1778031604,0
5,416509,,74116,0,1778031604,0
6,416509,,85380,0,1778031604,0
7,416509,417002,190076,110444,1778031604,0
8,416509,417002,733460,635128,1778031604,0
10,416509,417002,2072368,1972576,1778031733,0
11,416509,417002,2344360,2244624,1778031734,0
12,416509,417002,2433076,2333760,1778031734,0
13,416509,417002,3898024,3798228,1778031734,0
14,416509,417002,3899588,3799736,1778031734,0
15,416509,417002,3922000,3822164,1778031739,0
16,416509,417002,3939660,3839812,1778031740,0
17,416509,417002,3981424,3882020,1778031742,0
19,416509,417002,3243788,3144212,1778031743,0
20,416509,417002,3304492,3205220,1778031744,0
21,416509,417002,3330640,3230788,1778031744,0
22,416509,417002,3357172,3260352,1778031746,0
23,416509,417002,3510860,3412452,1778031747,0
24,416509,417002,4215612,4153252,1778031748,0
25,416509,417002,5136396,5036560,1778031749,0
27,416509,417002,5142180,5042328,1778031750,0
28,416509,417002,5159160,5059404,1778031752,0
29,416509,417002,5171456,5072096,1778031753,0
30,416509,417002,5197512,5098108,1778031754,0
31,416509,417002,5223548,5123696,1778031755,0
32,416509,417002,5271192,5171388,1778031756,0
33,416509,417002,5282264,5182760,1778031756,0
35,416509,417002,5535708,5438068,1778031759,0
36,416509,417002,5951352,5857820,1778031760,0
37,416509,417002,6319364,6219576,1778031761,0
38,416509,417002,6757940,6695012,1778031762,0
39,416509,417002,7691624,7591980,1778031763,0
40,416509,417002,7702884,7603088,1778031764,0
41,416509,417002,7717576,7617832,1778031765,0
43,416509,417002,7722612,7622832,1778031766,0
44,416509,417002,7725808,7626012,1778031768,0
45,416509,417002,7726240,7626444,1778031768,0
46,416509,417002,7730732,7630936,1778031769,0
47,416509,417002,8687532,8587740,1778031771,0
48,416509,417002,8805624,8705828,1778031772,0
49,416509,417002,9187492,9097076,1778031772,0
50,416509,417002,9646524,9547072,1778031772,0
51,416509,417002,9678328,9578532,1778031775,0
53,416509,417002,9673888,9574112,1778031777,0
54,416509,417002,9747340,9647780,1778031778,1
