elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,420353,,2244,0,1778031792,0
1,420353,,72552,0,1778031792,0
2,420353,,73040,0,1778031792,0
3,420353,,73276,0,1778031792,0
4,420353,,73724,0,1778031792,0
5,420353,,73912,0,1778031792,0
6,420353,,74400,0,1778031792,0
7,420353,,96720,0,1778031792,0
8,420353,420880,637848,539772,1778031792,0
9,420353,420880,1666680,1568600,1778031907,0
10,420353,420880,2331768,2240568,1778031908,0
12,420353,420880,2393716,2295996,1778031908,0
13,420353,420880,3918376,3820316,1778031908,0
14,420353,420880,3923500,3825428,1778031908,0
15,420353,420880,3955872,3857888,1778031913,0
16,420353,420880,3990660,3892652,1778031914,0
17,420353,420880,4020404,3922384,1778031915,0
18,420353,420880,4111200,4013660,1778031916,0
19,420353,420880,3487288,3389608,1778031917,0
21,420353,420880,3549264,3451184,1778031918,0
22,420353,420880,3616728,3520244,1778031920,0
23,420353,420880,4331148,4234940,1778031921,0
24,420353,420880,5359380,5262932,1778031922,0
25,420353,420880,5606800,5508720,1778031923,0
26,420353,420880,5612796,5514868,1778031924,0
27,420353,420880,5625356,5527316,1778031925,0
29,420353,420880,5645400,5547692,1778031926,0
30,420353,420880,5672488,5574764,1778031928,0
31,420353,420880,5709632,5612052,1778031929,0
32,420353,420880,5739156,5641852,1778031930,0
33,420353,420880,5751136,5653180,1778031930,0
34,420353,420880,6063648,5976240,1778031932,0
35,420353,420880,6537388,6448040,1778031933,0
37,420353,420880,6749460,6656152,1778031934,0
38,420353,420880,6970160,6876232,1778031935,0
39,420353,420880,6997852,6899828,1778031937,0
40,420353,420880,6999584,6901588,1778031938,0
41,420353,420880,7004152,6906128,1778031939,0
42,420353,420880,7009016,6910992,1778031939,0
43,420353,420880,7009508,6911468,1778031941,0
44,420353,420880,7009572,6911548,1778031941,0
45,420353,420880,7016912,6919116,1778031943,0
47,420353,420880,7976112,7878496,1778031944,0
48,420353,420880,8113940,8019992,1778031946,0
49,420353,420880,8548960,8458816,1778031946,0
50,420353,420880,8931228,8833508,1778031948,0
51,420353,420880,8956964,8858944,1778031949,0
52,420353,420880,8952748,8854724,1778031950,0
53,420353,420880,8992656,8894704,1778031951,1
