elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,443805,,2204,0,1778032806,0
1,443805,,72840,0,1778032806,0
2,443805,,73128,0,1778032806,0
3,443805,,73388,0,1778032806,0
4,443805,,73584,0,1778032806,0
5,443805,,74100,0,1778032806,0
6,443805,,74568,0,1778032806,0
7,443805,,139660,0,1778032806,0
8,443805,444379,657392,564828,1778032806,0
10,443805,444379,2075056,1975484,1778032919,0
11,443805,444379,2375696,2276128,1778032920,0
12,443805,444379,2441420,2341552,1778032920,0
13,443805,444379,2445284,2345380,1778032920,0
14,443805,444379,2467860,2368320,1778032924,0
15,443805,444379,2485096,2385552,1778032925,0
16,443805,444379,2595456,2495672,1778032926,0
17,443805,444379,2647200,2547664,1778032927,0
19,443805,444379,2677168,2577560,1778032928,0
20,443805,444379,2712276,2614588,1778032930,0
21,443805,444379,2807132,2709996,1778032931,0
22,443805,444379,4710592,4656332,1778032932,0
23,443805,444379,5779120,5679300,1778032933,0
24,443805,444379,5792656,5692856,1778032933,0
25,443805,444379,5804468,5704568,1778032935,0
26,443805,444379,5816020,5716388,1778032936,0
27,443805,444379,5842680,5742804,1778032937,0
29,443805,444379,5907420,5807572,1778032939,0
30,443805,444379,5969672,5875448,1778032940,0
31,443805,444379,5985760,5886188,1778032940,0
32,443805,444379,6224712,6126156,1778032942,0
33,443805,444379,6689756,6598316,1778032943,0
34,443805,444379,6991352,6891804,1778032944,0
35,443805,444379,7210212,7112372,1778032945,0
36,443805,444379,7254680,7154776,1778032946,0
38,443805,444379,7281388,7181604,1778032947,0
39,443805,444379,7294120,7194264,1778032949,0
40,443805,444379,7299208,7199320,1778032949,0
41,443805,444379,7310216,7210328,1778032950,0
42,443805,444379,7319216,7219328,1778032952,0
43,443805,444379,7442676,7343008,1778032953,0
44,443805,444379,8394288,8294400,1778032954,0
45,443805,444379,8724200,8631524,1778032955,0
46,443805,444379,9193820,9096352,1778032955,0
47,443805,444379,9261136,9161248,1778032957,0
49,443805,444379,9339116,9239656,1778032959,1
