elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,447533,,2472,0,1778032972,0
1,447533,,72744,0,1778032972,0
2,447533,,73064,0,1778032972,0
4,447533,,73280,0,1778032972,0
5,447533,,73636,0,1778032972,0
6,447533,,73936,0,1778032972,0
7,447533,,74552,0,1778032972,0
8,447533,,139420,0,1778032972,0
9,447533,448089,731540,632852,1778032972,0
10,447533,448089,2122620,2039808,1778033091,0
11,447533,448089,2384384,2284980,1778033092,0
12,447533,448089,3021480,2958704,1778033092,0
14,447533,448089,3924516,3824880,1778033092,0
15,447533,448089,3930492,3830868,1778033096,0
16,447533,448089,3961960,3862388,1778033097,0
17,447533,448089,3977140,3879328,1778033098,0
18,447533,448089,4038948,3939620,1778033099,0
19,447533,448089,3337152,3237716,1778033100,0
20,447533,448089,3416312,3316664,1778033101,0
21,447533,448089,3493460,3395288,1778033102,0
22,447533,448089,3672644,3575300,1778033103,0
24,447533,448089,5365192,5267100,1778033105,0
25,447533,448089,5384648,5285000,1778033105,0
26,447533,448089,5391380,5292168,1778033107,0
27,447533,448089,5403784,5304180,1778033107,0
28,447533,448089,5427884,5328576,1778033109,0
29,447533,448089,5455948,5356524,1778033110,0
30,447533,448089,5500420,5401184,1778033111,0
31,447533,448089,5524644,5425000,1778033112,0
33,447533,448089,5780692,5682896,1778033114,0
34,447533,448089,6206524,6111428,1778033115,0
35,447533,448089,6566112,6466712,1778033116,0
36,447533,448089,6777584,6682032,1778033117,0
37,447533,448089,6822640,6722996,1778033118,0
38,447533,448089,6856676,6757308,1778033119,0
39,447533,448089,6877960,6778412,1778033120,0
41,447533,448089,6884164,6784556,1778033121,0
42,447533,448089,6895444,6795836,1778033122,0
43,447533,448089,6899172,6800648,1778033124,0
44,447533,448089,6953208,6854048,1778033125,0
45,447533,448089,8594284,8494816,1778033126,0
46,447533,448089,8943308,8849812,1778033127,0
47,447533,448089,9535880,9445504,1778033127,0
48,447533,448089,9825284,9725676,1778033129,0
49,447533,448089,9950008,9858896,1778033130,1
