elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,451140,,2240,0,1778033143,0
1,451140,,72712,0,1778033143,0
2,451140,,73016,0,1778033143,0
3,451140,,73260,0,1778033143,0
4,451140,,73712,0,1778033143,0
5,451140,,74000,0,1778033143,0
6,451140,,97044,0,1778033143,0
8,451140,451636,481696,384636,1778033143,0
9,451140,451636,736976,638492,1778033143,0
10,451140,451636,2134300,2034840,1778033258,0
11,451140,451636,2391608,2292468,1778033258,0
12,451140,451636,2451472,2352004,1778033258,0
13,451140,451636,2453348,2353880,1778033258,0
14,451140,451636,2466940,2368528,1778033262,0
15,451140,451636,2498020,2398640,1778033263,0
17,451140,451636,2629664,2530296,1778033264,0
18,451140,451636,2652976,2554016,1778033266,0
19,451140,451636,2680364,2581460,1778033267,0
20,451140,451636,2713596,2614128,1778033267,0
21,451140,451636,2734984,2635516,1778033269,0
22,451140,451636,2860340,2764808,1778033270,0
23,451140,451636,4823216,4748500,1778033271,0
24,451140,451636,5703700,5604424,1778033272,0
26,451140,451636,5711480,5612416,1778033274,0
27,451140,451636,5725452,5625984,1778033274,0
28,451140,451636,5751868,5652736,1778033276,0
29,451140,451636,5781964,5682516,1778033277,0
30,451140,451636,5835816,5737116,1778033278,0
31,451140,451636,5851268,5752000,1778033278,0
32,451140,451636,6122808,6027836,1778033280,0
33,451140,451636,6664648,6573700,1778033281,0
35,451140,451636,6913996,6816948,1778033283,0
36,451140,451636,7138576,7040864,1778033284,0
37,451140,451636,7150312,7050900,1778033284,0
38,451140,451636,7175420,7076052,1778033285,0
39,451140,451636,7200484,7101072,1778033287,0
40,451140,451636,7201748,7102336,1778033288,0
41,451140,451636,7201792,7102380,1778033288,0
42,451140,451636,7209596,7110192,1778033290,0
43,451140,451636,8169028,8069620,1778033291,0
45,451140,451636,8285980,8186568,1778033292,0
46,451140,451636,8708264,8616172,1778033293,0
47,451140,451636,9117128,9019000,1778033295,0
48,451140,451636,9174756,9075424,1778033296,1
