elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,462930,,2556,0,1778033644,0
1,462930,,72532,0,1778033644,0
2,462930,,72976,0,1778033644,0
3,462930,,73224,0,1778033644,0
4,462930,,73656,0,1778033644,0
5,462930,,73996,0,1778033644,0
6,462930,,74352,0,1778033644,0
7,462930,,98048,0,1778033644,0
8,462930,463458,637200,538688,1778033644,0
10,462930,463458,1728872,1653120,1778033757,0
11,462930,463458,2331768,2232564,1778033757,0
12,462930,463458,2435472,2336064,1778033757,0
13,462930,463458,4089568,3990068,1778033757,0
14,462930,463458,4096724,3997228,1778033761,0
15,462930,463458,4128308,4031760,1778033762,0
16,462930,463458,4161456,4061992,1778033763,0
17,462930,463458,4206676,4107704,1778033764,0
18,462930,463458,3420348,3321168,1778033765,0
20,462930,463458,3521476,3421976,1778033766,0
21,462930,463458,3568900,3470800,1778033768,0
22,462930,463458,3729208,3860616,1778033769,0
23,462930,463458,5411028,5312204,1778033770,0
24,462930,463458,5452836,5353336,1778033771,0
25,462930,463458,5460412,5361284,1778033772,0
26,462930,463458,5472168,5372728,1778033773,0
27,462930,463458,5495816,5396668,1778033774,0
29,462930,463458,5525264,5426108,1778033776,0
30,462930,463458,5564696,5465452,1778033776,0
31,462930,463458,5585736,5486272,1778033777,0
32,462930,463458,5833484,5736668,1778033779,0
33,462930,463458,6273776,6184856,1778033780,0
34,462930,463458,6598796,6499628,1778033781,0
35,462930,463458,6816912,6719480,1778033782,0
36,462930,463458,6847672,6748152,1778033783,0
38,462930,463458,6851788,6752352,1778033785,0
39,462930,463458,6853592,6754136,1778033786,0
40,462930,463458,6854364,6754904,1778033786,0
41,462930,463458,6854416,6754956,1778033787,0
42,462930,463458,6856800,6757340,1778033789,0
43,462930,463458,6969488,6870036,1778033790,0
44,462930,463458,7922112,7822652,1778033791,0
45,462930,463458,8254176,8161924,1778033792,0
46,462930,463458,8736872,8641516,1778033792,0
48,462930,463458,8797984,8698524,1778033794,0
49,462930,463458,8852284,8752916,1778033796,1
