elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,480525,,2588,0,1778034313,0
1,480525,,72956,0,1778034313,0
2,480525,,73228,0,1778034313,0
3,480525,,73456,0,1778034313,0
4,480525,,74048,0,1778034313,0
5,480525,,74192,0,1778034313,0
6,480525,,96744,0,1778034313,0
7,480525,481041,542972,465616,1778034313,0
9,480525,481041,978436,911216,1778034427,0
10,480525,481041,2154764,2056988,1778034428,0
11,480525,481041,2388052,2290272,1778034428,0
12,480525,481041,2442448,2344428,1778034428,0
13,480525,481041,2444400,2346364,1778034428,0
14,480525,481041,2455788,2357972,1778034432,0
15,480525,481041,2477780,2379748,1778034433,0
17,480525,481041,2560768,2462920,1778034434,0
18,480525,481041,2651192,2553400,1778034435,0
19,480525,481041,2676588,2579052,1778034437,0
20,480525,481041,2708772,2610688,1778034437,0
21,480525,481041,2784408,2689916,1778034439,0
22,480525,481041,4544264,4481648,1778034440,0
23,480525,481041,5284104,5186064,1778034441,0
24,480525,481041,5751968,5653904,1778034442,0
26,480525,481041,5762328,5664496,1778034443,0
27,480525,481041,5772260,5674452,1778034444,0
28,480525,481041,5798576,5700804,1778034446,0
29,480525,481041,5823044,5724980,1778034447,0
30,480525,481041,5920008,5822232,1778034448,0
31,480525,481041,5939680,5841616,1778034448,0
32,480525,481041,6145604,6048036,1778034450,0
33,480525,481041,6233172,6136036,1778034451,0
35,480525,481041,6482932,6454476,1778034453,0
36,480525,481041,6922324,6824260,1778034454,0
37,480525,481041,7089844,6995932,1778034455,0
38,480525,481041,7208196,7110188,1778034456,0
39,480525,481041,7223532,7125544,1778034457,0
40,480525,481041,7241832,7143836,1778034458,0
41,480525,481041,7247492,7149484,1778034459,0
43,480525,481041,7490592,7434140,1778034459,0
44,480525,481041,7775136,7677128,1778034461,0
45,480525,481041,8752724,8654716,1778034463,0
46,480525,481041,8865028,8769608,1778034464,0
47,480525,481041,9339136,9245440,1778034464,0
48,480525,481041,9700876,9602956,1778034466,0
49,480525,481041,9729152,9631148,1778034467,0
50,480525,481041,9807120,9711636,1778034468,1
