elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,520467,,2088,0,1778034994,0
1,520467,,72812,0,1778034994,0
2,520467,,73084,0,1778034994,0
3,520467,,73300,0,1778034994,0
4,520467,,73744,0,1778034994,0
6,520467,,74020,0,1778034994,0
7,520467,,74468,0,1778034994,0
8,520467,,99968,0,1778034994,0
9,520467,521049,738436,638056,1778035158,0
10,520467,521049,2152372,2052340,1778035159,0
11,520467,521049,2385292,2285024,1778035159,0
12,520467,521049,3417680,3368396,1778035159,0
13,520467,521049,4184416,4083932,1778035159,0
14,520467,521049,4223208,4123316,1778035163,0
16,520467,521049,4240284,4139804,1778035165,0
17,520467,521049,4272012,4173584,1778035165,0
18,520467,521049,3342508,3242248,1778035167,0
19,520467,521049,3425600,3325652,1778035168,0
20,520467,521049,3461392,3361228,1778035169,0
21,520467,521049,3570372,3472780,1778035170,0
22,520467,521049,4394240,4345260,1778035171,0
24,520467,521049,5561440,5460952,1778035172,0
25,520467,521049,5598480,5498008,1778035173,0
26,520467,521049,5614956,5514472,1778035175,0
27,520467,521049,5631884,5531724,1778035176,0
28,520467,521049,5665324,5564864,1778035177,0
29,520467,521049,5708432,5609148,1778035178,0
30,520467,521049,5745476,5645028,1778035178,0
31,520467,521049,6002384,5903064,1778035181,0
33,520467,521049,6466608,6374328,1778035182,0
34,520467,521049,6773536,6673072,1778035183,0
35,520467,521049,6986860,6888424,1778035183,0
36,520467,521049,7038152,6937672,1778035185,0
37,520467,521049,7066992,6966536,1778035186,0
38,520467,521049,7074864,6974436,1778035187,0
39,520467,521049,7078048,6977736,1778035188,0
41,520467,521049,7089464,6989036,1778035189,0
42,520467,521049,7090200,6989772,1778035191,0
43,520467,521049,7109712,7009284,1778035192,0
44,520467,521049,8129612,8030996,1778035193,0
45,520467,521049,8377848,8288676,1778035193,0
46,520467,521049,8820000,8731872,1778035193,0
47,520467,521049,9008520,8908696,1778035196,0
48,520467,521049,9032664,8932368,1778035196,0
50,520467,521049,9055080,8955096,1778035199,1
