elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,533510,,2596,0,1778035215,0
1,533510,,72660,0,1778035215,0
2,533510,,72940,0,1778035215,0
3,533510,,73204,0,1778035215,0
4,533510,,73332,0,1778035215,0
5,533510,,73916,0,1778035215,0
6,533510,,74372,0,1778035215,0
7,533510,,98924,0,1778035215,0
8,533510,534095,636228,537472,1778035215,0
9,533510,534095,1773944,1685632,1778035326,0
11,533510,534095,2336892,2238076,1778035327,0
12,533510,534095,2444932,2346348,1778035327,0
13,533510,534095,2448488,2349492,1778035327,0
14,533510,534095,2455044,2356116,1778035331,0
15,533510,534095,2491200,2392884,1778035332,0
16,533510,534095,2507008,2408384,1778035333,0
17,533510,534095,2641424,2542752,1778035334,0
19,533510,534095,2666756,2568200,1778035335,0
20,533510,534095,2698748,2599744,1778035337,0
21,533510,534095,2736416,2637908,1778035338,0
22,533510,534095,2841664,2745020,1778035339,0
23,533510,534095,5312928,5216020,1778035340,0
24,533510,534095,5837584,5738580,1778035341,0
25,533510,534095,5843008,5744116,1778035341,0
26,533510,534095,5859644,5760640,1778035343,0
28,533510,534095,5874936,5776400,1778035345,0
29,533510,534095,5902144,5803448,1778035346,0
30,533510,534095,5968848,5870264,1778035347,0
31,533510,534095,6005500,5906524,1778035348,0
32,533510,534095,6015184,5916184,1778035348,0
33,533510,534095,6297716,6201932,1778035350,0
34,533510,534095,6707512,6615176,1778035351,0
36,533510,534095,7049856,6951288,1778035352,0
37,533510,534095,7235916,7139004,1778035353,0
38,533510,534095,7323724,7224760,1778035355,0
39,533510,534095,7338224,7239296,1778035356,0
40,533510,534095,7362764,7263800,1778035357,0
41,533510,534095,7365420,7266456,1778035357,0
42,533510,534095,7369128,7270164,1778035359,0
43,533510,534095,7370664,7272104,1778035360,0
44,533510,534095,7405572,7306680,1778035361,0
46,533510,534095,8424728,8329160,1778035363,0
47,533510,534095,8668684,8577828,1778035363,0
48,533510,534095,9133820,9046112,1778035363,0
49,533510,534095,9336880,9237916,1778035365,0
50,533510,534095,9379664,9281728,1778035367,1
