elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,550340,,2212,0,1778035553,0
1,550340,,72704,0,1778035553,0
2,550340,,73208,0,1778035553,0
3,550340,,73428,0,1778035553,0
5,550340,,74032,0,1778035553,0
6,550340,,74184,0,1778035553,0
7,550340,,99124,0,1778035553,0
8,550340,550837,533992,459452,1778035553,0
9,550340,550837,1556104,1487272,1778035665,0
10,550340,550837,2266088,2166768,1778035666,0
11,550340,550837,2401296,2301896,1778035666,0
12,550340,550837,3818764,3719140,1778035666,0
14,550340,550837,3820608,3720964,1778035666,0
15,550340,550837,3859280,3759632,1778035671,0
16,550340,550837,3879548,3779952,1778035672,0
17,550340,550837,3909844,3810628,1778035673,0
18,550340,550837,3495528,3332200,1778035674,0
19,550340,550837,3456076,3357132,1778035675,0
20,550340,550837,3506704,3407576,1778035676,0
21,550340,550837,3587644,3492408,1778035677,0
23,550340,550837,4266432,4211272,1778035679,0
24,550340,550837,5174432,5075040,1778035680,0
25,550340,550837,5333168,5233520,1778035680,0
26,550340,550837,5341128,5241664,1778035682,0
27,550340,550837,5352736,5253204,1778035683,0
28,550340,550837,5378056,5278768,1778035684,0
29,550340,550837,5404228,5304828,1778035685,0
30,550340,550837,5443952,5344696,1778035686,0
32,550340,550837,5469748,5371536,1778035687,0
33,550340,550837,5660900,5594128,1778035689,0
34,550340,550837,6104372,6005440,1778035690,0
35,550340,550837,6474888,6377560,1778035691,0
36,550340,550837,6640352,6546848,1778035692,0
37,550340,550837,6747008,6647400,1778035693,0
38,550340,550837,6753856,6654872,1778035694,0
40,550340,550837,6796220,6696620,1778035695,0
41,550340,550837,6797244,6697636,1778035696,0
42,550340,550837,6808648,6709040,1778035697,0
43,550340,550837,6808660,6709052,1778035697,0
44,550340,550837,6838084,6740088,1778035700,0
45,550340,550837,7864644,7765224,1778035701,0
46,550340,550837,8017232,7920720,1778035702,0
47,550340,550837,8477936,8385544,1778035702,0
48,550340,550837,8754728,8655120,1778035704,0
50,550340,550837,8768056,8668464,1778035705,0
51,550340,550837,8764604,8665408,1778035706,1
