elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,567181,,2128,0,1778035897,0
1,567181,,72708,0,1778035897,0
2,567181,,72980,0,1778035897,0
3,567181,,73284,0,1778035897,0
4,567181,,73428,0,1778035897,0
5,567181,,73944,0,1778035897,0
6,567181,,74148,0,1778035897,0
7,567181,,78752,0,1778035897,0
8,567181,567711,359260,300476,1778035897,0
9,567181,567711,1128964,1051860,1778036010,0
11,567181,567711,2213788,2114268,1778036011,0
12,567181,567711,2401148,2302048,1778036012,0
13,567181,567711,2454760,2355008,1778036012,0
14,567181,567711,2457768,2358028,1778036012,0
15,567181,567711,2503248,2403500,1778036016,0
16,567181,567711,2525484,2425724,1778036017,0
17,567181,567711,2608856,2509284,1778036018,0
18,567181,567711,2673748,2574356,1778036019,0
20,567181,567711,2699972,2600776,1778036020,0
21,567181,567711,2732640,2632912,1778036022,0
22,567181,567711,2800660,2704084,1778036023,0
23,567181,567711,4375132,4326480,1778036024,0
24,567181,567711,5580268,5481040,1778036025,0
25,567181,567711,5868020,5768256,1778036026,0
26,567181,567711,5879552,5779980,1778036027,0
27,567181,567711,5891492,5791932,1778036028,0
29,567181,567711,5920220,5820804,1778036030,0
30,567181,567711,5986836,5893724,1778036031,0
31,567181,567711,6045164,5945400,1778036032,0
32,567181,567711,6055052,5955296,1778036032,0
33,567181,567711,6371484,6280128,1778036034,0
34,567181,567711,6919692,6831936,1778036035,0
35,567181,567711,7103180,7005500,1778036036,0
37,567181,567711,7288640,7189800,1778036038,0
38,567181,567711,7302488,7202720,1778036038,0
39,567181,567711,7346408,7246700,1778036040,0
40,567181,567711,7351136,7251420,1778036041,0
41,567181,567711,7364128,7264404,1778036042,0
42,567181,567711,7364304,7264580,1778036042,0
43,567181,567711,7372908,7273236,1778036044,0
44,567181,567711,8365980,8266256,1778036045,0
45,567181,567711,8467680,8376420,1778036046,0
46,567181,567711,8939956,8847668,1778036046,0
48,567181,567711,9294212,9196272,1778036049,0
49,567181,567711,9335924,9237404,1778036050,1
