elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,571774,,2544,0,1778036065,0
2,571774,,72720,0,1778036065,0
3,571774,,73052,0,1778036065,0
4,571774,,73300,0,1778036065,0
5,571774,,73864,0,1778036065,0
6,571774,,74040,0,1778036065,0
7,571774,,74184,0,1778036065,0
8,571774,,74696,0,1778036065,0
9,571774,,141300,0,1778036065,0
10,571774,572361,737100,636452,1778036178,0
11,571774,572361,2075608,1975084,1778036179,0
12,571774,572361,2384396,2284224,1778036180,0
14,571774,572361,2878332,2847240,1778036180,0
15,571774,572361,4909420,4808632,1778036180,0
16,571774,572361,4927984,4827224,1778036184,0
17,571774,572361,4962668,4862056,1778036185,0
18,571774,572361,4995796,4895060,1778036186,0
19,571774,572361,4382724,4019272,1778036187,0
20,571774,572361,3266536,3166536,1778036188,0
22,571774,572361,3303184,3202676,1778036189,0
23,571774,572361,3390828,3294476,1778036191,0
24,571774,572361,3529144,3479260,1778036192,0
25,571774,572361,5285116,5184984,1778036193,0
26,571774,572361,5301888,5201092,1778036194,0
27,571774,572361,5312416,5211764,1778036195,0
28,571774,572361,5323212,5222668,1778036196,0
29,571774,572361,5353140,5252496,1778036197,0
31,571774,572361,5389332,5288860,1778036199,0
32,571774,572361,5426300,5325504,1778036199,0
33,571774,572361,5431456,5330660,1778036199,0
34,571774,572361,5713120,5622208,1778036202,0
35,571774,572361,7696708,7606652,1778036203,0
36,571774,572361,7935128,7836428,1778036204,0
37,571774,572361,8175252,8076536,1778036205,0
38,571774,572361,8206336,8105480,1778036206,0
39,571774,572361,8223700,8123188,1778036207,0
41,571774,572361,8234132,8133408,1778036208,0
42,571774,572361,8241952,8141228,1778036210,0
43,571774,572361,8246684,8145960,1778036210,0
44,571774,572361,8251316,8151424,1778036212,0
45,571774,572361,8374648,8273996,1778036213,0
46,571774,572361,9330020,9229296,1778036214,0
47,571774,572361,9650916,9562904,1778036215,0
48,571774,572361,10124424,10027516,1778036215,0
49,571774,572361,10190624,10089996,1778036217,0
51,571774,572361,10243372,10159412,1778036219,1
