elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,575667,,2588,0,1778036233,0
1,575667,,72504,0,1778036233,0
3,575667,,72860,0,1778036233,0
4,575667,,73176,0,1778036233,0
5,575667,,73308,0,1778036233,0
6,575667,,73844,0,1778036233,0
7,575667,,74008,0,1778036233,0
8,575667,,98244,0,1778036233,0
9,575667,576207,529968,445276,1778036233,0
10,575667,576207,1538732,1467968,1778036346,0
11,575667,576207,2243644,2144520,1778036347,0
12,575667,576207,2389596,2290488,1778036347,0
13,575667,576207,4033308,3933756,1778036347,0
15,575667,576207,4039912,3940348,1778036347,0
16,575667,576207,4074460,3974892,1778036352,0
17,575667,576207,4106268,4006756,1778036353,0
18,575667,576207,4155412,4056120,1778036354,0
19,575667,576207,3253204,3153972,1778036355,0
20,575667,576207,3339848,3240836,1778036356,0
21,575667,576207,3372852,3273512,1778036357,0
22,575667,576207,3475680,3378828,1778036358,0
24,575667,576207,3731832,3635976,1778036360,0
25,575667,576207,3914444,3960428,1778036361,0
26,575667,576207,4069560,3969988,1778036361,0
27,575667,576207,4083792,3984420,1778036363,0
28,575667,576207,4095368,3996224,1778036364,0
29,575667,576207,4122276,4023008,1778036365,0
30,575667,576207,4142608,4043164,1778036366,0
31,575667,576207,4188728,4089156,1778036367,0
33,575667,576207,4192712,4093140,1778036367,0
34,575667,576207,4450372,4356528,1778036370,0
35,575667,576207,5471884,5382976,1778036371,0
36,575667,576207,5761196,5662240,1778036372,0
37,575667,576207,5976568,5879048,1778036373,0
38,575667,576207,6014940,5915412,1778036374,0
39,575667,576207,6051668,5952568,1778036375,0
41,575667,576207,6070812,5971280,1778036376,0
42,575667,576207,6074120,5974588,1778036376,0
43,575667,576207,6080532,5981000,1778036378,0
44,575667,576207,6290220,6190692,1778036380,0
45,575667,576207,6420136,6320604,1778036381,0
46,575667,576207,7366320,7266892,1778036382,0
47,575667,576207,7674472,7583420,1778036382,0
48,575667,576207,8141184,8051300,1778036382,0
49,575667,576207,8239692,8140364,1778036385,0
50,575667,576207,8295952,8197224,1778036386,1
