elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,579364,,2524,0,1778036401,0
1,579364,,72668,0,1778036401,0
2,579364,,72992,0,1778036401,0
3,579364,,73300,0,1778036401,0
4,579364,,73448,0,1778036401,0
6,579364,,73960,0,1778036401,0
7,579364,,74128,0,1778036401,0
8,579364,,98148,0,1778036401,0
9,579364,579893,495516,407564,1778036401,0
10,579364,579893,1500952,1436056,1778036514,0
11,579364,579893,2251592,2152180,1778036516,0
12,579364,579893,2398232,2298808,1778036516,0
13,579364,579893,2459100,2359404,1778036516,0
14,579364,579893,2461096,2361404,1778036516,0
15,579364,579893,2491208,2391496,1778036521,0
17,579364,579893,2506200,2406476,1778036522,0
18,579364,579893,2645204,2546000,1778036523,0
19,579364,579893,2677728,2578280,1778036524,0
20,579364,579893,2706796,2607868,1778036525,0
21,579364,579893,2728428,2628704,1778036525,0
22,579364,579893,2791532,2694448,1778036527,0
23,579364,579893,4267176,4229016,1778036528,0
25,579364,579893,5754456,5655560,1778036530,0
26,579364,579893,5769560,5669836,1778036530,0
27,579364,579893,5777828,5678260,1778036532,0
28,579364,579893,5789112,5689484,1778036532,0
29,579364,579893,5814016,5714572,1778036534,0
30,579364,579893,5879480,5779992,1778036535,0
31,579364,579893,5938328,5838836,1778036536,0
32,579364,579893,5957808,5858084,1778036537,0
33,579364,579893,5990068,5896828,1778036539,0
35,579364,579893,6382244,6308396,1778036540,0
36,579364,579893,6940616,6847288,1778036541,0
37,579364,579893,7086400,6990772,1778036542,0
38,579364,579893,7238064,7138400,1778036543,0
39,579364,579893,7239936,7140268,1778036543,0
40,579364,579893,7279816,7180148,1778036545,0
42,579364,579893,7290652,7190988,1778036546,0
43,579364,579893,7300828,7201160,1778036547,0
44,579364,579893,7300768,7201100,1778036547,0
45,579364,579893,7316984,7217372,1778036550,0
46,579364,579893,8314832,8215164,1778036551,0
47,579364,579893,8411844,8320652,1778036552,0
48,579364,579893,8883632,8787052,1778036552,0
49,579364,579893,9251604,9154172,1778036554,0
50,579364,579893,9286648,9186980,1778036555,1
