elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,583320,,2544,0,1778036571,0
1,583320,,72816,0,1778036571,0
2,583320,,73084,0,1778036571,0
3,583320,,73340,0,1778036571,0
4,583320,,73484,0,1778036571,0
5,583320,,73968,0,1778036571,0
6,583320,,74212,0,1778036571,0
7,583320,,74840,0,1778036571,0
9,583320,583845,184644,88816,1778036571,0
10,583320,583845,1017252,949724,1778036685,0
11,583320,583845,2185104,2087076,1778036686,0
12,583320,583845,2390120,2292056,1778036686,0
13,583320,583845,3713580,3615316,1778036686,0
14,583320,583845,3716560,3618256,1778036686,0
15,583320,583845,3726272,3628584,1778036690,0
16,583320,583845,3770700,3672652,1778036691,0
18,583320,583845,3801544,3704152,1778036693,0
19,583320,583845,3845136,3747176,1778036694,0
20,583320,583845,3405076,3307248,1778036695,0
21,583320,583845,3473316,3374988,1778036696,0
22,583320,583845,3531632,3435424,1778036697,0
23,583320,583845,3749192,3654112,1778036698,0
24,583320,583845,5386148,5300888,1778036699,0
26,583320,583845,5593744,5495472,1778036700,0
