elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,585275,,2224,0,1778036702,0
1,585275,,72796,0,1778036702,0
2,585275,,73072,0,1778036702,0
3,585275,,73300,0,1778036702,0
4,585275,,73784,0,1778036702,0
5,585275,,74028,0,1778036702,0
6,585275,,74436,0,1778036702,0
7,585275,,132604,0,1778036702,0
8,585275,585813,647868,549208,1778036702,0
9,585275,585813,1673356,1574576,1778036753,0
11,585275,585813,2312876,2213508,1778036754,0
12,585275,585813,2394260,2294912,1778036754,0
13,585275,585813,2451196,2351692,1778036754,0
14,585275,585813,2472516,2373192,1778036758,0
15,585275,585813,2494392,2395128,1778036759,0
16,585275,585813,2520260,2421208,1778036760,0
17,585275,585813,2654288,2555004,1778036761,0
18,585275,585813,2679592,2580320,1778036762,0
19,585275,585813,2730600,2631204,1778036763,0
21,585275,585813,2765976,2668052,1778036765,0
22,585275,585813,3609196,3828080,1778036766,0
23,585275,585813,5417112,5356924,1778036767,0
24,585275,585813,5913604,5814660,1778036768,0
25,585275,585813,5920812,5821568,1778036769,0
26,585275,585813,7161640,7062084,1778036770,0
27,585275,585813,7180436,7081024,1778036771,0
29,585275,585813,7208688,7109568,1778036773,0
30,585275,585813,7242712,7143456,1778036774,0
31,585275,585813,7279924,7180560,1778036774,0
32,585275,585813,7310652,7211444,1778036776,0
33,585275,585813,7693116,7627352,1778036777,0
34,585275,585813,8241704,8151564,1778036778,0
35,585275,585813,8396604,8299100,1778036779,0
36,585275,585813,8556440,8456872,1778036780,0
38,585275,585813,8562252,8462752,1778036781,0
39,585275,585813,8589672,8490172,1778036783,0
40,585275,585813,8605048,8505552,1778036784,0
41,585275,585813,8606760,8507260,1778036785,0
42,585275,585813,8606984,8507484,1778036785,0
43,585275,585813,8615900,8516400,1778036787,0
44,585275,585813,9584196,9484696,1778036788,0
45,585275,585813,9677136,9577636,1778036789,0
46,585275,585813,10122192,10025300,1778036789,0
48,585275,585813,10503600,10404688,1778036792,0
49,585275,585813,10541632,10442944,1778036792,1
