elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,641054,,2492,0,1778038427,0
1,641054,,73000,0,1778038427,0
2,641054,,73200,0,1778038427,0
3,641054,,73412,0,1778038427,0
4,641054,,73836,0,1778038427,0
5,641054,,74140,0,1778038427,0
6,641054,,74692,0,1778038427,0
7,641054,641518,628408,542036,1778038427,0
8,641054,641518,1498472,1436188,1778040771,0
10,641054,641518,2185500,2099012,1778040772,0
11,641054,641518,2197784,2111264,1778040774,0
12,641054,641518,2232236,2146024,1778040775,0
13,641054,641518,2310284,2224020,1778040775,0
14,641054,641518,2423696,2337432,1778040775,0
15,641054,641518,2472688,2386516,1778040778,0
16,641054,641518,2648224,2563508,1778040779,0
18,641054,641518,2931468,3070020,1778040781,0
19,641054,641518,4582428,4495832,1778040782,0
20,641054,641518,4689096,4602672,1778040782,0
21,641054,641518,4707496,4620936,1778040783,0
22,641054,641518,4716012,4629416,1778040783,0
23,641054,641518,4718684,4632088,1778040783,0
24,641054,641518,4755568,4669492,1778040787,0
25,641054,641518,4800732,4714532,1778040788,0
27,641054,641518,4864908,4778320,1778040789,0
28,641054,641518,4865136,4778540,1778040789,0
29,641054,641518,4868612,4782016,1778040789,0
30,641054,641518,4868648,4782052,1778040789,0
31,641054,641518,5102520,5017764,1778040794,0
32,641054,641518,6401260,6323268,1778040795,0
33,641054,641518,6548848,6462296,1778040796,0
34,641054,641518,6549528,6462940,1778040797,0
36,641054,641518,6550784,6464204,1778040799,0
37,641054,641518,6560076,6473480,1778040799,0
38,641054,641518,6560184,6473580,1778040799,0
39,641054,641518,6560340,6473736,1778040799,0
41,641054,641518,6560380,6473776,1778040799,0
42,641054,641518,6560444,6473840,1778040799,0
43,641054,641518,6560452,6473848,1778040799,0
44,641054,641518,6560452,6473848,1778040799,0
45,641054,641518,6560568,6473964,1778040799,0
46,641054,641518,6560568,6473964,1778040799,0
47,641054,641518,6560568,6473964,1778040799,0
48,641054,641518,6560568,6473964,1778040799,0
49,641054,641518,6560584,6473980,1778040799,0
51,641054,641518,6560584,6473980,1778040799,0
52,641054,641518,6560624,6474020,1778040799,0
53,641054,641518,6560624,6474020,1778040799,0
54,641054,641518,6560624,6474020,1778040799,0
55,641054,641518,6560624,6474020,1778040799,0
56,641054,641518,6560648,6474044,1778040799,0
57,641054,641518,6560648,6474044,1778040799,0
58,641054,641518,6560700,6474096,1778040799,0
59,641054,641518,6560700,6474096,1778040799,0
61,641054,641518,6560704,6474100,1778040799,0
62,641054,641518,6560704,6474100,1778040799,0
63,641054,641518,6560704,6474100,1778040799,0
64,641054,641518,6560716,6474112,1778040799,0
65,641054,641518,6560724,6474120,1778040799,0
66,641054,641518,6560728,6474124,1778040799,0
67,641054,641518,6560744,6474140,1778040799,0
68,641054,641518,6560748,6474144,1778040799,0
69,641054,641518,6560752,6474148,1778040799,0
70,641054,641518,6560756,6474152,1778040799,0
72,641054,641518,6560704,6474100,1778040799,0
73,641054,641518,6560768,6474164,1778040799,0
74,641054,641518,6560780,6474176,1778040799,0
75,641054,641518,6560780,6474176,1778040799,0
76,641054,641518,6560784,6474180,1778040799,0
77,641054,641518,6560808,6474204,1778040799,0
78,641054,641518,6560632,6474028,1778040799,0
79,641054,641518,6560640,6474036,1778040799,0
80,641054,641518,6560640,6474036,1778040799,0
81,641054,641518,6560640,6474036,1778040799,0
83,641054,641518,6560656,6474052,1778040799,0
84,641054,641518,6560656,6474052,1778040799,0
85,641054,641518,6560656,6474052,1778040799,0
86,641054,641518,6560656,6474052,1778040799,0
87,641054,641518,6705508,6620952,1778040799,0
88,641054,641518,6787836,6701240,1778040799,0
89,641054,641518,7558012,7504176,1778040852,0
90,641054,641518,8564212,8477608,1778040853,0
91,641054,641518,8570804,8484200,1778040854,0
93,641054,641518,8571456,8484864,1778040854,0
94,641054,641518,8572340,8485736,1778040854,0
95,641054,641518,8572536,8485940,1778040854,0
96,641054,641518,9449820,9363216,1778040859,0
97,641054,641518,9952344,9873936,1778040859,0
98,641054,641518,10289160,10202556,1778040861,0
99,641054,641518,10300376,10213772,1778040861,0
100,641054,641518,10304788,10218184,1778040861,0
101,641054,641518,10305272,10218668,1778040861,0
102,641054,641518,10305736,10219144,1778040861,0
104,641054,641518,10305968,10219368,1778040861,0
105,641054,641518,10306056,10219452,1778040861,0
106,641054,641518,10314844,10228240,1778040868,0
107,641054,641518,10315512,10228908,1778040870,0
108,641054,641518,10378400,10291804,1778040871,1
