elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,31372,,2232,0,1778011179,0
1,31372,,72604,0,1778011179,0
2,31372,,72984,0,1778011179,0
3,31372,,73240,0,1778011179,0
4,31372,,73708,0,1778011179,0
5,31372,,73992,0,1778011179,0
6,31372,,74340,0,1778011179,0
7,31372,31871,175100,80604,1778011179,0
8,31372,31871,649488,557496,1778011179,0
9,31372,31871,1996852,1898744,1778011310,0
10,31372,31871,2348572,2249492,1778011311,0
12,31372,31871,2553176,2454032,1778011311,0
13,31372,31871,2759908,2660688,1778011311,0
14,31372,31871,2761572,2662300,1778011311,0
15,31372,31871,2791444,2693824,1778011316,0
16,31372,31871,2807396,2708160,1778011317,0
17,31372,31871,2827004,2728272,1778011318,0
18,31372,31871,2861076,2761956,1778011319,0
19,31372,31871,2893320,2794288,1778011320,0
20,31372,31871,2936492,2837220,1778011321,0
21,31372,31871,3073872,2976892,1778011322,0
23,31372,31871,3222860,3130228,1778011324,0
24,31372,31871,5875056,5781424,1778011325,0
25,31372,31871,5927072,5827800,1778011326,0
26,31372,31871,5932432,5833408,1778011327,0
27,31372,31871,5944480,5845208,1778011328,0
28,31372,31871,5997788,5899180,1778011329,0
30,31372,31871,6027852,5929176,1778011331,0
31,31372,31871,6098096,5999896,1778011332,0
32,31372,31871,6135228,6036252,1778011333,0
33,31372,31871,6182700,6177344,1778011334,0
34,31372,31871,6937568,6874396,1778011335,0
36,31372,31871,7636508,7555000,1778011337,0
37,31372,31871,7775676,7682532,1778011338,0
38,31372,31871,8040156,7954320,1778011339,0
39,31372,31871,8090104,7990844,1778011339,0
40,31372,31871,8116368,8017212,1778011341,0
41,31372,31871,8139108,8044788,1778011342,0
42,31372,31871,8158412,8059152,1778011343,0
44,31372,31871,8181584,8082324,1778011344,0
45,31372,31871,8191976,8092732,1778011346,0
46,31372,31871,8219592,8200828,1778011347,0
47,31372,31871,9842880,9749132,1778011348,0
48,31372,31871,10148204,10052052,1778011349,0
49,31372,31871,10646808,10571312,1778011349,0
50,31372,31871,10734116,10637332,1778011351,0
52,31372,31871,10738140,10638960,1778011353,0
53,31372,31871,10790380,10693140,1778011354,1
