elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,36002,,1852,0,1778011370,0
1,36002,,72616,0,1778011370,0
2,36002,,73056,0,1778011370,0
3,36002,,73308,0,1778011370,0
5,36002,,73780,0,1778011370,0
6,36002,,74148,0,1778011370,0
7,36002,,74576,0,1778011370,0
8,36002,36480,472212,374516,1778011370,0
9,36002,36480,1266944,1199436,1778011547,0
10,36002,36480,1797020,1698748,1778011547,0
11,36002,36480,2075428,1985532,1778011549,0
12,36002,36480,2342468,2244664,1778011549,0
13,36002,36480,2442808,2344616,1778011549,0
14,36002,36480,2445436,2347292,1778011549,0
16,36002,36480,2469476,2371220,1778011554,0
17,36002,36480,2498500,2400448,1778011555,0
18,36002,36480,2556612,2458616,1778011556,0
19,36002,36480,2651504,2553708,1778011557,0
20,36002,36480,2677844,2579840,1778011558,0
21,36002,36480,2717312,2619040,1778011559,0
22,36002,36480,2736528,2639672,1778011560,0
23,36002,36480,2891556,2797328,1778011561,0
24,36002,36480,5562500,5480472,1778011562,0
25,36002,36480,6674524,6576312,1778011563,0
27,36002,36480,6688956,6590808,1778011565,0
28,36002,36480,6791992,6693720,1778011565,0
29,36002,36480,6809680,6711788,1778011567,0
30,36002,36480,6262316,6164352,1778011568,0
31,36002,36480,6291048,6192980,1778011569,0
32,36002,36480,6330140,6231868,1778011570,0
33,36002,36480,6346608,6248340,1778011570,0
34,36002,36480,6724388,6654204,1778011572,0
35,36002,36480,7594988,7496732,1778011573,0
36,36002,36480,7841752,7745556,1778011574,0
38,36002,36480,8071576,7973400,1778011576,0
39,36002,36480,8223000,8124788,1778011577,0
40,36002,36480,8252332,8154212,1778011577,0
41,36002,36480,8258544,8160328,1778011579,0
42,36002,36480,8270948,8172736,1778011580,0
43,36002,36480,8297956,8199740,1778011581,0
44,36002,36480,9260132,9184444,1778011581,0
45,36002,36480,9686124,9587940,1778011582,0
46,36002,36480,11123052,11024836,1778011584,0
47,36002,36480,11318684,11220468,1778011585,0
48,36002,36480,11757216,11655152,1778011585,0
49,36002,36480,12155280,12057612,1778011588,0
51,36002,36480,12213896,12115784,1778011589,1
